cpu0,cpu1,cpu2,cpu3,cpu4,cpu5,cpu6,cpu7,cpu8,cpu9,cpu10,cpu11,cpu12,cpu13,cpu14,cpu15,cpu16,cpu17,cpu18,cpu19,cpu20,cpu21,cpu22,cpu23,cpu24,cpu25,cpu26,cpu27,cpu28,cpu29,cpu30,cpu31,cpu32,cpu33,cpu34,cpu35,cpu36,cpu37,cpu38,cpu39,cpu40,cpu41,cpu42,cpu43,cpu44,cpu45,cpu46,cpu47,cpu48,cpu49,cpu50,cpu51,cpu52,cpu53,cpu54,cpu55,cpu56,cpu57,cpu58,cpu59,cpu60,cpu61,cpu62,cpu63,cpu64,cpu65,cpu66,cpu67,cpu68,cpu69,cpu70,cpu71,cpu72,cpu73,cpu74,cpu75,cpu76,cpu77,cpu78,cpu79,cpu80,cpu81,cpu82,cpu83,cpu84,cpu85,cpu86,cpu87,cpu88,cpu89,cpu90,cpu91,cpu92,cpu93,cpu94,cpu95
1.5517241,1.3769363,1.5490534,1.5490534,1.3769363,1.3793104,1.3793104,1.5490534,1.5463917,1.208981,1.3793104,1.5490534,1.5490534,1.3793104,100,1.5463917,1.5517241,1.5517241,1.208981,1.3793104,1.3793104,1.208981,1.208981,1.5490534,1.3793104,1.3793104,1.3793104,1.2068965,1.3793104,1.5490534,1.3793104,1.2068965,1.208981,0.5181347,1.3793104,1.3793104,1.5490534,1.5517241,1.3793104,1.208981,1.3793104,1.208981,1.3793104,1.3793104,1.5490534,1.3769363,1.5490534,1.3769363,1.3793104,1.3793104,1.3793104,1.2068965,1.7211703,1.7182131,1.5490534,1.3793104,1.5517241,1.3793104,1.5463917,1.5490534,1.3793104,1.3793104,1.3793104,1.208981,1.3793104,1.3769363,1.5490534,1.5490534,1.3816925,1.3793104,1.3793104,1.208981,1.3769363,1.3793104,1.5490534,1.5490534,1.5490534,1.3793104,1.3793104,1.2068965,1.3793104,1.5463917,1.5490534,1.3793104,1.5490534,1.7211703,1.5490534,1.3793104,1.3793104,1.3793104,1.5490534,1.3769363,1.3769363,1.3793104,1.3793104,1.5490534
95.2381,100,95.2381,100,100,100,100,100,100,95,95.2381,100,100,100,95.2381,100,100,95,95.454544,100,63.15789,95.2381,100,75,94.73685,100,95.2381,60.000004,100,100,100,100,95.2381,31.818182,100,100,100,95.2381,95.2381,100,100,95.2381,95,95.2381,95.2381,100,100,95.2381,100,95.2381,95.2381,95.454544,95.2381,94.73685,100,95.454544,100,95.2381,100,95,100,100,100,95.2381,100,100,95.2381,95.2381,95,100,95,100,100,95.2381,95,95,100,68.42105,100,100,100,100,95,100,100,95,95.2381,95.2381,95,100,100,100,100,95,95.2381,100
100,100,100,100,100,100,95.2381,100,100,100,100,100,100,100,100,100,100,100,100,100,95,100,95,95,100,100,100,77.77778,95.2381,100,95,100,100,95,100,100,94.73685,100,100,95,100,100,100,100,100,100,95,100,100,100,100,100,100,100,100,100,95.2381,100,100,100,95,100,95.2381,100,100,100,100,100,100,95.2381,100,95.2381,100,100,100,100,100,95.2381,100,100,100,100,100,100,100,47.61905,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,95,100,95.2381,95.454544,100,100,95.454544,100,100,100,100,95,84.210526,100,100,100,100,100,100,100,95.454544,100,100,100,100,100,100,100,100,95.2381,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95.2381,100,100,100,100,100,100,100,100,100,100,75,95,80,75,100,100,100,100,100,100,100,100,100
95.2381,95.2381,95,100,95.2381,100,100,100,100,95.2381,100,100,95.454544,100,95,95.2381,100,100,95,95.2381,100,95.2381,95,100,100,100,95.2381,100,95,95.2381,100,95.2381,100,100,100,100,95.2381,100,95.2381,100,95.454544,100,100,100,100,95.2381,100,95,95.2381,100,95.2381,100,100,100,95.2381,95,100,95.2381,95.2381,100,100,100,100,100,95.2381,95.2381,95,100,100,100,95,100,100,95.2381,95.2381,100,95,100,95.2381,95,95.2381,95.2381,95.2381,95,100,100,95.2381,100,95,95.2381,100,95.2381,100,95.2381,100,95
100,100,100,100,100,100,100,100,95,100,95.2381,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95.2381,100,100,100,95.454544,100
100,100,100,100,100,100,95.454544,100,100,100,100,100,100,95.2381,100,100,100,100,100,100,100,100,100,95.454544,95.2381,95.454544,100,100,100,100,100,100,100,100,100,100,100,100,100,95.2381,100,100,100,95,100,100,95.454544,100,90,100,100,100,95.2381,100,100,100,100,95.2381,100,100,95.2381,100,100,95.454544,100,100,100,100,100,100,100,100,95.454544,100,100,100,100,100,100,100,100,100,100,100,95.2381,100,100,17.647058,100,100,100,100,95.454544,100,100,100
95.2381,100,100,95.2381,95.2381,95,100,95.2381,100,95.2381,100,95.2381,100,100,100,100,95.2381,95.2381,95.2381,100,95.2381,95.2381,95.2381,100,100,95,95,95.454544,100,100,95,100,95.454544,95.2381,95,95.2381,95.2381,100,100,100,100,100,100,100,100,95.2381,100,95.2381,85.71429,95.454544,100,95.2381,100,85.71429,95.2381,95,95.2381,100,95.2381,95.2381,100,95.2381,95.2381,100,100,95.2381,94.73685,95,95,100,95.454544,95,95.2381,95,95.454544,100,95.454544,100,95,95,100,95.2381,95.2381,100,100,95,100,75,95.2381,100,100,95.2381,100,100,100,100
95,94.73685,90,95.2381,90,90,90.47619,90,90.47619,90,90,95,90,95,90,85,90,94.73685,89.47369,90.47619,94.73685,89.47369,90,90.47619,90.47619,90,90.47619,94.73685,90,90.47619,90.47619,85,95,95,90.47619,94.73685,94.73685,94.73685,95.2381,90.47619,94.44444,90,90,80,90.47619,90,90.47619,95.2381,95,94.73685,90.47619,95,90.47619,95,94.73685,90.47619,90,90.47619,94.73685,95,90,94.73685,89.47369,89.47369,90.47619,94.73685,90,94.73685,95.2381,90.47619,95,90.47619,90,94.73685,89.47369,90,90,90.909096,90.47619,95,90.47619,90,95.2381,95,90,95.2381,90,86.36364,94.73685,90,95.2381,95,94.73685,90.47619,95,94.73685
95.2381,95.2381,95,100,100,94.73685,100,100,95,100,95.2381,95,100,95,100,100,95,100,95,100,100,95.2381,100,100,95,100,100,100,100,100,94.73685,95,100,100,100,100,95,95.454544,95,100,95.2381,100,100,95,95,95.2381,100,100,100,95.2381,95.2381,100,100,95,94.44444,95,95,100,95.2381,95,100,100,95.2381,95.2381,100,95,95.2381,95,100,100,95,100,100,95,100,100,100,100,94.73685,100,100,95.2381,94.73685,95.2381,95,100,100,100,95,100,95.2381,95,95,100,95,95.2381
100,100,100,100,100,100,95.2381,100,100,100,100,100,100,100,100,95,100,95.2381,100,100,95.454544,100,100,100,100,95.2381,95.2381,95,100,100,100,100,100,100,95.2381,100,100,100,100,100,100,100,100,100,100,100,100,95.2381,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95.2381,100,95,100,100,100,100,100,100,100,95.2381,100,95.2381,100,95.2381,100,100,100,100,100,100,100,100,95.2381,100,100,100,100,100,95.2381,100,100
100,100,100,100,100,100,100,100,100,95.2381,100,95.2381,100,100,100,100,100,100,100,95.2381,100,100,95.454544,100,100,100,100,100,95.2381,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95.2381,100,95.2381,95.454544,100,100,100,100,100,95.454544,100,100,100,100,100,100,100,100,95.2381,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95.454544,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95.2381,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,95.2381,100,100,100,95.2381,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95.454544,100,100,100,100,95.454544,100,100,100,100,100,95.454544,100,100,100,95.2381,100,100,100,100,100,100,95,100,100,100,100,100,100,95.454544,100,100,95.2381,100,100,100,100,100,100
