cpu0,cpu1,cpu2,cpu3,cpu4,cpu5,cpu6,cpu7,cpu8,cpu9,cpu10,cpu11,cpu12,cpu13,cpu14,cpu15,cpu16,cpu17,cpu18,cpu19,cpu20,cpu21,cpu22,cpu23,cpu24,cpu25,cpu26,cpu27,cpu28,cpu29,cpu30,cpu31,cpu32,cpu33,cpu34,cpu35,cpu36,cpu37,cpu38,cpu39,cpu40,cpu41,cpu42,cpu43,cpu44,cpu45,cpu46,cpu47,cpu48,cpu49,cpu50,cpu51,cpu52,cpu53,cpu54,cpu55,cpu56,cpu57,cpu58,cpu59,cpu60,cpu61,cpu62,cpu63,cpu64,cpu65,cpu66,cpu67,cpu68,cpu69,cpu70,cpu71,cpu72,cpu73,cpu74,cpu75,cpu76,cpu77,cpu78,cpu79,cpu80,cpu81,cpu82,cpu83,cpu84,cpu85,cpu86,cpu87,cpu88,cpu89,cpu90,cpu91,cpu92,cpu93,cpu94,cpu95
2.828619,2.3294508,2.8145695,2.6666667,2.1666667,2.3333333,2.3294508,2.49584,2.828619,2.49584,2.6622295,2.1666667,2.8239202,2.4916942,2.3294508,2.9900334,2.9900334,2.3294508,2.6578074,3.1666665,2.1630616,2.3294508,2.4916942,2.6533997,2.3294508,2.8333335,2.3255813,2.8333335,2.3294508,2.4916942,3,2.3294508,2.9950082,2.3294508,3.156146,2.3255813,2.4875622,3.322259,2.828619,2.4916942,3.156146,2.49584,2.9950082,2.3255813,2.3294508,2.4916942,2.4916942,2.9900334,2.1630616,3.1613975,2.6622295,2.6578074,2.3294508,2.8239202,3.322259,2.6533997,2.3333333,1.9933555,2.1666667,2.6533997,3.150912,2.6533997,2.3333333,2.4916942,2.8239202,2.1666667,2.6533997,2.3372288,2.3255813,2.3333333,2.4916942,2,3.1613975,2.1630616,2.6578074,2.1630616,2.8239202,2.8333335,2.3333333,2.3294508,2.4916942,2.3255813,2.6578074,2.9950082,2.6578074,2.6622295,2.4875622,2.8192372,2.4916942,2.6578074,2.3294508,2.3294508,3.1613975,2.4875622,99.166664,2.6622295
84.210526,78.94737,55.555557,63.15789,73.68421,73.91304,57.894737,68.42105,84.210526,72.22222,81.818184,58.823532,63.15789,52.941177,75,65,86.36364,68.42105,65,95,64.70589,64.70589,58.823532,58.823532,66.66667,90.47619,83.33333,77.77778,75,71.42857,90.47619,90.47619,90,94.73685,73.68421,66.66667,58.823532,70.588234,73.68421,75,86.36364,85,86.36364,58.823532,70,78.94737,65,72.22222,83.33333,94.73685,71.42857,85.71429,71.42857,55.555557,90,64.70589,73.68421,68.42105,73.91304,64.70589,78.94737,80.952385,70,64.70589,68.42105,90.47619,85,80.952385,63.15789,63.15789,62.5,63.15789,94.73685,61.11111,70,58.823532,63.15789,76.47059,78.94737,58.823532,61.11111,73.91304,70.588234,94.73685,81.818184,70,66.66667,95,55.555557,70.588234,72.72727,76.190475,77.77778,58.823532,85.71429,68.42105
65,79.16667,78.94737,71.42857,66.66667,81.818184,78.26087,75,75,72,76.190475,80.952385,78.26087,68.181816,77.27273,66.66667,90.47619,71.42857,72.72727,80.952385,70.83333,77.27273,68.181816,63.636364,71.42857,90.909096,63.636364,80.952385,80.952385,75,84.210526,82.608696,90,90.47619,68.181816,68.181816,70.83333,83.33333,75,82.608696,80.952385,75,76.190475,72.72727,70,75,78.94737,66.66667,81.818184,80.952385,72.72727,90.47619,89.47369,66.66667,90.47619,69.565216,72.72727,73.91304,80.952385,65.21739,71.42857,76.190475,85.71429,66.66667,72.72727,95,85.71429,81.818184,80,66.66667,80.952385,72.72727,95,71.42857,72.72727,68,85.71429,69.565216,85,68.181816,83.33333,65.21739,89.47369,95.2381,73.91304,76.190475,71.42857,94.73685,66.66667,73.91304,63.636364,80,66.66667,69.565216,73.91304,72.72727
72.72727,90,85.71429,73.91304,66.66667,85.71429,65.21739,69.565216,76.190475,68.42105,77.27273,45,69.565216,95,80.952385,70.83333,78.26087,70.37037,71.42857,76.190475,75,81.818184,68.181816,72,80,90.47619,80,71.42857,77.27273,72.72727,70.83333,71.42857,90.47619,85.71429,61.904762,69.565216,61.904762,77.27273,77.27273,77.27273,85.71429,77.27273,73.91304,73.91304,73.91304,73.91304,61.904762,71.42857,66.66667,73.91304,85.71429,80.952385,85.71429,76.190475,82.608696,75,81.818184,80.952385,69.565216,71.42857,86.36364,80.952385,86.36364,77.27273,72.72727,95,85.71429,66.66667,81.818184,75,78.26087,73.91304,94.44444,77.27273,73.68421,66.66667,85.71429,78.26087,81.818184,66.66667,63.636364,60.000004,90.909096,80,80.952385,63.15789,65.21739,95.2381,71.42857,76.190475,71.42857,72.72727,73.91304,69.565216,80.952385,83.33333
68.42105,52.941177,60.000004,77.77778,57.894737,77.77778,70.588234,68.42105,61.11111,80,71.42857,57.894737,64.70589,80.952385,78.94737,73.68421,64.70589,50,72.22222,76.190475,78.94737,78.26087,78.94737,63.15789,73.68421,85,72.22222,77.77778,72.22222,73.68421,68.42105,60.000004,88.88889,61.11111,52.63158,65,56.25,73.68421,66.66667,72.22222,89.47369,56.25,65,85,66.66667,85.71429,61.11111,52.941177,73.68421,95,84.210526,66.66667,76.47059,73.68421,77.77778,63.15789,66.66667,66.66667,66.66667,89.47369,72.22222,90,61.904762,68.42105,63.15789,95,80,83.33333,68.42105,43.75,70,66.66667,95,63.15789,75,55.555557,68.42105,66.66667,77.77778,57.894737,46.666668,68.42105,89.47369,58.823532,68.42105,50,61.11111,90,78.94737,58.823532,65,61.11111,60.000004,63.15789,68.42105,94.44444
70,65,70,72.72727,85,65,76.190475,90,90.909096,85,78.94737,90,81.818184,57.894737,94.73685,75,81.818184,85.71429,81.818184,75,85,73.68421,80.952385,73.68421,65,90,76.190475,73.68421,75,70,71.42857,71.42857,71.42857,73.68421,72.22222,72.22222,75,73.68421,63.636364,71.42857,75,76.190475,65,83.33333,68.181816,70,78.94737,65,94.73685,81.818184,70,70,68.181816,89.47369,80.952385,63.15789,70,68.42105,73.68421,76.190475,70,78.94737,68.181816,78.94737,71.42857,95,77.27273,66.66667,75,75,71.42857,85.71429,94.73685,84.210526,63.15789,63.15789,65,61.904762,76.190475,63.15789,78.94737,63.636364,65,57.894737,69.565216,70,73.68421,95,59.090908,80,78.94737,60.000004,90,75,80.952385,71.42857
84.210526,65,70.588234,71.42857,70,63.15789,72.22222,66.66667,94.44444,61.904762,85.71429,68.42105,80,60.000004,65,65,78.94737,77.77778,89.47369,68.42105,90,89.47369,58.823532,78.94737,68.42105,80,61.11111,71.42857,78.94737,60.000004,70,65,63.15789,80,80.952385,85,84.210526,80.952385,80,73.68421,66.66667,73.68421,65,61.904762,63.15789,68.42105,65,90,66.66667,73.68421,63.15789,65,70,88.88889,78.94737,68.42105,73.68421,75,73.68421,63.15789,61.904762,84.210526,78.94737,77.77778,76.190475,95,84.210526,50,61.904762,70,72.22222,70,71.42857,90,80.952385,78.94737,61.11111,75,70,70,89.47369,58.823532,69.565216,61.904762,68.42105,61.904762,84.210526,89.47369,68.42105,61.11111,78.94737,71.42857,88.88889,72.22222,72.22222,84.210526
95.2381,63.15789,69.565216,76.190475,75,65,73.68421,61.904762,90.47619,63.636364,89.47369,68.42105,80,73.68421,71.42857,66.66667,76.190475,84.210526,71.42857,61.904762,85.71429,90.47619,65,77.77778,63.15789,66.66667,60.000004,90,76.190475,65,78.94737,63.636364,84.210526,80,80,78.94737,90.47619,71.42857,90,66.66667,66.66667,85,63.15789,75,65,65,70,95,60.000004,73.68421,68.181816,71.42857,76.190475,89.47369,73.68421,68.42105,75,70,80.952385,61.904762,70,80.952385,80.952385,90,65,94.73685,90,72.72727,73.68421,65,70,63.15789,57.894737,84.210526,85,65,63.636364,71.42857,72.22222,94.73685,85,85,71.42857,63.15789,80,70,89.47369,94.73685,70,71.42857,76.190475,80.952385,66.66667,76.190475,76.190475,70
94.73685,70,70.588234,71.42857,84.210526,78.94737,72.72727,78.94737,94.44444,73.68421,76.190475,57.894737,85,75,80.952385,68.42105,80,78.94737,68.42105,61.11111,90,95.2381,73.68421,70,84.210526,60.000004,55,75,61.11111,55.555557,94.73685,78.94737,80,78.94737,75,65,60.000004,61.11111,80,55.555557,80.952385,80,61.904762,61.904762,66.66667,75,80,90.47619,64.70589,70,78.94737,65,61.11111,85.71429,63.15789,66.66667,66.66667,63.15789,55,68.42105,63.15789,85,72.72727,90,63.636364,55,66.66667,72.22222,70,52.63158,70.588234,68.42105,75,60.000004,68.42105,55,66.66667,94.73685,70,95,75,90,63.15789,66.66667,78.94737,68.42105,78.94737,90,71.42857,65,89.47369,68.42105,63.15789,68.42105,72.72727,65
55,75,84.210526,72.22222,89.47369,80,84.210526,84.210526,90.909096,73.68421,72.72727,76.190475,83.33333,70,78.94737,66.66667,94.73685,84.210526,55.555557,61.904762,94.117645,89.47369,76.190475,61.904762,76.190475,61.11111,60.000004,72.22222,61.904762,50,84.210526,73.68421,80,82.35294,63.15789,61.11111,80,80.952385,70,63.15789,80.952385,72.72727,65,55.555557,70,63.15789,89.47369,94.44444,77.27273,78.94737,85,75,55.555557,89.47369,66.66667,65,68.181816,55.555557,76.190475,63.15789,63.15789,80,80,94.44444,58.823532,80,72.22222,78.94737,75,76.190475,75,85,57.894737,66.66667,75,61.11111,80,94.73685,70,75,68.42105,95,76.190475,86.36364,76.190475,66.66667,60.000004,77.77778,70,66.66667,70,68.42105,63.636364,75,80.952385,57.894737
69.565216,68.181816,71.42857,71.42857,86.36364,66.66667,85.71429,89.47369,84.210526,76.190475,66.66667,90,90,71.42857,71.42857,61.11111,78.94737,76.190475,75,61.904762,85.71429,80,71.42857,63.15789,84.210526,65,63.15789,66.66667,66.66667,60.000004,75,61.11111,76.190475,65.21739,60.000004,61.904762,78.94737,89.47369,70,65,89.47369,75,57.894737,80,70,65,85.71429,90.909096,68.42105,80,75,75,61.904762,86.36364,65,95,66.66667,78.94737,85,57.14286,70,80.952385,90,90.47619,60.000004,73.68421,66.66667,76.190475,70,66.66667,70,90.47619,57.14286,61.904762,73.68421,60.000004,78.26087,95,66.66667,76.190475,73.68421,86.36364,70.588234,66.66667,85.71429,61.904762,75,66.66667,70,61.11111,80,76.190475,65,66.66667,80,52.941177
80.952385,70,85,75,89.47369,63.15789,90,72.72727,70,61.904762,65,70,63.636364,70,80.952385,70,80.952385,65,73.68421,57.894737,95.2381,80.952385,90,66.66667,84.210526,65,77.27273,68.42105,68.42105,50,73.68421,71.42857,70,63.15789,81.818184,85,85.71429,63.636364,71.42857,80,80,85,65,77.27273,88.88889,72.72727,72.22222,63.15789,80,84.210526,72.72727,81.818184,60.000004,88.2353,75,80.952385,70,84.210526,84.210526,63.15789,76.190475,73.68421,85,75,63.15789,85,65,94.73685,71.42857,60.000004,70,94.73685,85.71429,68.42105,73.91304,95,75,90.47619,76.190475,70,73.91304,89.47369,60.000004,68.42105,95,60.000004,75,63.15789,73.68421,76.190475,75,66.66667,58.823532,70,68.42105,76.190475
