cpu0,cpu1,cpu2,cpu3,cpu4,cpu5,cpu6,cpu7,cpu8,cpu9,cpu10,cpu11,cpu12,cpu13,cpu14,cpu15,cpu16,cpu17,cpu18,cpu19,cpu20,cpu21,cpu22,cpu23,cpu24,cpu25,cpu26,cpu27,cpu28,cpu29,cpu30,cpu31,cpu32,cpu33,cpu34,cpu35,cpu36,cpu37,cpu38,cpu39,cpu40,cpu41,cpu42,cpu43,cpu44,cpu45,cpu46,cpu47,cpu48,cpu49,cpu50,cpu51,cpu52,cpu53,cpu54,cpu55,cpu56,cpu57,cpu58,cpu59,cpu60,cpu61,cpu62,cpu63,cpu64,cpu65,cpu66,cpu67,cpu68,cpu69,cpu70,cpu71,cpu72,cpu73,cpu74,cpu75,cpu76,cpu77,cpu78,cpu79,cpu80,cpu81,cpu82,cpu83,cpu84,cpu85,cpu86,cpu87,cpu88,cpu89,cpu90,cpu91,cpu92,cpu93,cpu94,cpu95
100,0,0,0,0,0,0,0,0.16103059,0,0,0,0,0,0,0,0,0,0,0,0.16103059,0,0,0,0,0,0,0.16103059,0,0,0,0,0,0.16103059,0,0,0,0,0,0,0.48465267,0,0,0,1.7713366,0,0,0,0,0,0,0,0.32206118,0,0,0,0.16129032,0,0,0,0,0,0,0,0.16103059,0.16129032,0,0,0.16103059,0.32206118,0,0,0,0,0,0,0,0,0,0,0.16129032,0.16103059,0,0,0,0,0,0,0,0,0,0.1615509,1.6155088,0,0,0.16103059
95.2381,100,100,100,95.2381,95.2381,95.2381,95.2381,100,95.2381,95.2381,95.2381,100,100,95,95,100,100,95.2381,100,100,94.73685,100,95.2381,95.2381,85.71429,100,100,95.2381,95,95.2381,95,100,95,95.2381,100,100,95.2381,95,100,95.2381,100,100,95.2381,100,94.73685,95.454544,100,100,100,100,100,95,95,95,100,95.454544,90,95,100,100,90,100,95.454544,100,95.2381,100,95,100,95,100,95.2381,95,95,100,100,100,85,100,100,95,100,100,100,95,100,100,100,95.2381,95,95.2381,100,95.2381,95.454544,100,95.2381
100,95,95,95,100,100,100,100,100,100,100,100,100,100,100,100,100,95.454544,100,95.454544,100,95.454544,95.454544,100,100,100,95.2381,95.2381,100,100,100,100,100,100,100,85,100,100,100,100,100,100,100,100,95.454544,100,100,95.454544,95,95.2381,100,65,100,100,100,95.2381,100,15.000001,100,95.2381,100,100,85,100,100,100,100,100,100,100,95.2381,100,100,100,100,95.454544,95.2381,26.31579,100,95.2381,100,95.2381,95,100,100,100,95,95,100,100,100,95.2381,100,100,95.2381,100
100,100,100,100,100,100,100,100,100,100,100,100,100,95,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95.2381,100,100,90,100,100,100,100,100,100,100,100,100,95.2381,100,100,100,100,95.2381,60.000004,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95,100,100,100,100,100,100,100,95.2381,100,100,100,61.904762,100,100,100,100,95,100,100,100,100,100,100,100,70,100,100,100,95.454544
100,100,100,100,100,95.2381,100,95.2381,90.47619,100,100,100,95.2381,100,100,95.454544,95,100,100,100,100,100,100,100,100,95.2381,100,100,100,100,100,100,100,100,100,95.2381,95.2381,100,100,95.454544,100,47.61905,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95.2381,95.2381,95.2381,100,100,95.2381,100,100,100,95.2381,100,100,95.2381,95.2381,100,100,100,100,100,100,100,100,95.2381,100,100,95.2381,100,100,100,95.2381,100,100,100,100,100,61.11111,100,100,100,100
100,95.2381,100,100,95.454544,100,95.2381,100,100,95.454544,95,95.454544,100,100,95,100,100,90,95.2381,100,95.2381,95,95.454544,95.2381,95.2381,89.47369,95.2381,95.454544,95.454544,54.545456,95.2381,95,100,95.2381,95.2381,100,100,95,95.454544,100,100,61.904762,95.2381,95,95,47.368423,95.454544,95.2381,100,100,100,100,95.2381,95.2381,95,95.2381,100,80,100,100,95.2381,100,100,95,95,95,100,95,100,100,100,95,95,95.454544,100,95.2381,95.2381,95,100,100,95.2381,100,95.2381,100,95.454544,100,95.454544,95,95.2381,95.454544,95,95.2381,100,95,100,100
95.2381,100,95.2381,95.2381,100,100,100,95.454544,95.2381,100,100,100,95,95,100,95.2381,95.2381,85,100,95.2381,100,100,100,100,100,95.2381,100,100,100,5,100,95.2381,95.2381,100,100,95.2381,100,95.2381,100,100,95.2381,100,100,100,100,10,100,100,95.454544,100,95.2381,95,90.47619,100,100,100,100,100,100,95.2381,100,95,95.2381,100,100,100,95.2381,100,95.454544,95.2381,95.454544,100,100,100,100,100,100,100,95.2381,95,100,95.2381,100,95.454544,100,100,100,100,100,100,100,100,95.2381,100,95.2381,95
100,95,100,100,94.73685,95.2381,95,100,100,100,94.73685,95,100,100,95.2381,95,100,95.2381,95,100,100,95.2381,95.2381,95,100,100,95,95,95,100,100,100,78.94737,94.73685,95,100,95,100,95,95,100,95,95.2381,95,100,95.2381,94.73685,100,77.77778,95.2381,100,95,95.2381,95.2381,95.2381,100,95,100,94.73685,100,95,100,100,95,100,95.2381,100,100,100,100,100,95,95.2381,100,95.2381,95.2381,100,95,100,100,94.73685,100,95.2381,100,95.2381,95,95,95.2381,94.73685,95,95.2381,95,100,95,100,100
95.2381,95.2381,95,94.73685,95.2381,100,95.2381,94.73685,95.2381,95,100,95,95.2381,95.2381,100,95,95.2381,94.73685,100,95,95,95,100,95.2381,95.2381,90.47619,100,95.2381,95.2381,95.454544,95.2381,95,95.2381,100,95.2381,95.2381,95.2381,95.2381,95,100,95.2381,95,95,95.454544,95,95,94.73685,95.2381,95,100,95,95.454544,100,100,100,95.454544,95.2381,90.47619,95.454544,95,95,90.47619,95,100,95.2381,100,95,95.2381,95,95.2381,95,95,95.2381,95,100,94.73685,95.2381,100,90.47619,90.47619,95,95,100,95,95.2381,100,95,95,95.2381,95,100,95.2381,100,90.47619,95,90.909096
100,95,94.73685,95,100,95,100,95.2381,95,100,95,95,95,95,95,95,100,100,95,95,95,95,95,100,100,100,100,100,94.73685,100,95,95.2381,95,95,100,95,95,100,95,95.2381,100,95,95,95,63.15789,100,95,95,95,100,100,100,95,95,95,94.73685,100,100,100,100,95,100,95,95,100,94.73685,100,94.73685,80,100,100,95,95,95.2381,95,95.2381,100,95,100,100,100,95,95,95,100,95.2381,100,95,95,100,94.73685,100,95.2381,100,95,100
