cpu0,cpu1,cpu2,cpu3,cpu4,cpu5,cpu6,cpu7,cpu8,cpu9,cpu10,cpu11,cpu12,cpu13,cpu14,cpu15,cpu16,cpu17,cpu18,cpu19,cpu20,cpu21,cpu22,cpu23,cpu24,cpu25,cpu26,cpu27,cpu28,cpu29,cpu30,cpu31,cpu32,cpu33,cpu34,cpu35,cpu36,cpu37,cpu38,cpu39,cpu40,cpu41,cpu42,cpu43,cpu44,cpu45,cpu46,cpu47,cpu48,cpu49,cpu50,cpu51,cpu52,cpu53,cpu54,cpu55,cpu56,cpu57,cpu58,cpu59,cpu60,cpu61,cpu62,cpu63,cpu64,cpu65,cpu66,cpu67,cpu68,cpu69,cpu70,cpu71,cpu72,cpu73,cpu74,cpu75,cpu76,cpu77,cpu78,cpu79,cpu80,cpu81,cpu82,cpu83,cpu84,cpu85,cpu86,cpu87,cpu88,cpu89,cpu90,cpu91,cpu92,cpu93,cpu94,cpu95
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81.818184,72.22222,66.66667,82.35294,72.22222,85,77.77778,66.66667,86.36364,73.68421,73.68421,85,82.35294,88.88889,71.42857,80.952385,70,80.952385,68.42105,95,83.33333,70.588234,86.36364,70,90,76.47059,85,83.33333,80.952385,94.73685,78.94737,83.33333,73.68421,66.66667,70,81.818184,72.22222,76.190475,77.77778,89.47369,85.71429,89.47369,78.26087,95.2381,90,77.27273,70,90,90.47619,80,76.47059,73.68421,83.33333,76.190475,80,73.68421,83.33333,83.33333,75,90,83.33333,77.27273,80,83.33333,71.42857,80,88.2353,90,83.33333,80,88.88889,78.94737,85,68.42105,80.952385,66.66667,90.47619,95.2381,66.66667,78.94737,73.68421,70,78.94737,94.44444,73.68421,75,80,80.952385,90.47619,90.909096,83.33333,90.47619,85.71429,73.68421,72.22222,95
68.181816,77.27273,68.181816,85.71429,68.181816,70.588234,85.71429,77.77778,89.47369,65,73.68421,85.71429,95,89.47369,68.42105,80,70,68.42105,66.66667,86.36364,70,76.190475,84.210526,70,95,80,85,85,65,80,70,85.71429,85,76.190475,70,78.94737,76.190475,65,77.27273,90,63.15789,71.42857,85.71429,94.44444,75,68.42105,80,75,68.42105,72.72727,75,70,86.36364,77.27273,70,78.94737,71.42857,84.210526,70,76.190475,85,77.27273,75,81.818184,61.904762,71.42857,85,81.818184,81.818184,70,85.71429,78.94737,84.210526,90,80.952385,65,77.27273,95,68.181816,85.71429,70,68.42105,75,86.36364,73.68421,65,76.190475,65,75,75,80,78.94737,66.66667,70,75,85
78.26087,78.94737,70,72.72727,68.181816,85.71429,85.71429,81.818184,80,69.565216,95.2381,75,85.71429,85.71429,68.181816,66.66667,75,73.91304,69.565216,81.818184,72.72727,90.47619,80.952385,76.190475,90.47619,80,80.952385,87.5,73.91304,90.47619,75,88.88889,89.47369,90.909096,61.904762,75,85,70,78.94737,80,66.66667,81.818184,78.94737,86.95652,71.42857,71.42857,80,85,72.72727,77.27273,77.27273,71.42857,80,76.190475,85,86.95652,84.210526,85,90.909096,72.72727,85,68.181816,80.952385,77.77778,69.565216,70,85,75,85,95,80.952385,80.952385,85.71429,80.952385,65.21739,82.608696,75,95,66.66667,78.94737,71.42857,76.190475,75,65.21739,85.71429,73.91304,73.91304,70,70,80,80,81.818184,71.42857,69.565216,73.68421,85.71429
72.22222,75,68.42105,52.941177,73.68421,89.47369,63.15789,88.88889,66.66667,72.22222,68.75,78.94737,84.210526,66.66667,64.70589,78.94737,70.588234,63.15789,77.77778,72.22222,64.70589,56.25,77.77778,77.77778,82.35294,75,70.588234,62.5,65,83.33333,75,84.210526,68.42105,68.42105,64.70589,75,85,55.555557,57.894737,72.22222,77.77778,89.47369,73.68421,58.823532,68.42105,72.22222,64.70589,70.588234,66.66667,64.70589,70.588234,73.68421,85,84.210526,66.66667,73.68421,75,78.94737,70.588234,65,83.33333,77.77778,77.77778,84.210526,82.35294,80,80,50,72.22222,66.66667,63.15789,68.42105,85,68.42105,68.42105,73.68421,73.68421,73.68421,66.66667,78.94737,68.42105,58.823532,68.42105,57.894737,72.22222,64.70589,70.588234,70,58.823532,73.68421,77.77778,70,66.66667,63.15789,70,76.47059
71.42857,66.66667,71.42857,80,66.66667,71.42857,78.94737,77.27273,76.190475,76.190475,76.190475,76.190475,71.42857,61.904762,77.27273,84.210526,70,66.66667,75,76.190475,71.42857,61.904762,73.68421,80,80.952385,60.000004,71.42857,71.42857,78.94737,75,68.42105,75,80,73.68421,77.27273,73.68421,75,63.636364,72.22222,77.27273,66.66667,88.88889,75,65,71.42857,72.72727,70,70,61.904762,63.15789,68.42105,60.000004,84.210526,70,63.15789,76.190475,70,80.952385,68.42105,77.77778,70,63.15789,63.15789,78.94737,76.190475,80,78.94737,71.42857,80,80,70,72.72727,88.88889,72.22222,68.42105,72.22222,76.190475,81.818184,80,75,76.190475,70,77.27273,66.66667,70,71.42857,61.904762,65,70,78.94737,83.33333,68.42105,76.190475,76.190475,77.77778,70
76.47059,72.22222,72.22222,62.5,86.36364,70.588234,72.22222,84.210526,81.25,84.210526,68.75,73.68421,89.47369,76.47059,84.210526,64.70589,80.952385,87.5,89.47369,75,70.588234,75,70.588234,90.47619,84.210526,75,53.333336,70.588234,77.77778,77.27273,58.823532,64.70589,73.68421,73.68421,78.94737,68.42105,84.210526,61.11111,81.818184,64.70589,62.5,78.94737,73.68421,80,63.15789,76.47059,72.22222,75,52.941177,62.5,77.77778,78.26087,90,72.22222,61.11111,72.22222,64.70589,78.94737,76.47059,76.47059,85,66.66667,61.11111,61.11111,80,58.823532,80,58.823532,90,72.22222,72.22222,90,72.22222,76.47059,66.66667,61.11111,72.22222,80,72.22222,64.70589,77.77778,78.94737,68.42105,66.66667,78.94737,78.94737,80,72.22222,70.588234,61.11111,61.11111,77.77778,83.33333,85,68.42105,66.66667
72.72727,76.190475,76.190475,73.91304,90,70.83333,84.210526,89.47369,82.608696,68.181816,76.190475,76.190475,72.72727,72.72727,80,76.190475,84.210526,86.36364,77.27273,81.818184,80.952385,78.94737,73.91304,63.636364,80,80.952385,73.91304,82.608696,81.818184,84.210526,63.636364,72.72727,78.26087,81.818184,66.66667,71.42857,85.71429,71.42857,70,77.27273,72.72727,68.181816,75,78.26087,66.66667,77.27273,80.952385,90.47619,72.72727,75,85.71429,81.818184,95.2381,71.42857,76.190475,76.190475,70.83333,80,82.608696,75,68.181816,68.181816,72.72727,95,85,69.565216,71.42857,75,85.71429,71.42857,81.818184,73.91304,70,77.27273,75,75,89.47369,76.190475,81.818184,69.565216,63.636364,73.91304,76.190475,69.565216,91.30435,86.36364,71.42857,77.27273,78.94737,80.952385,85.71429,65.21739,86.36364,78.94737,85.71429,76.190475
85,73.68421,89.47369,55.555557,84.210526,66.66667,62.5,82.35294,88.88889,63.15789,63.15789,73.68421,85,66.66667,72.22222,89.47369,61.904762,85,63.15789,61.11111,64.70589,78.94737,72.22222,63.15789,80,83.33333,66.66667,77.77778,77.77778,71.42857,55.555557,66.66667,78.94737,84.210526,88.88889,68.42105,83.33333,63.15789,71.42857,57.894737,77.77778,85,70.588234,70.588234,63.15789,75,82.35294,89.47369,73.68421,77.77778,73.68421,80,84.210526,77.77778,64.70589,85,83.33333,80,61.11111,70,78.94737,55.555557,63.15789,89.47369,80.952385,58.823532,61.11111,73.68421,68.42105,73.68421,58.823532,61.11111,57.894737,73.68421,73.68421,57.894737,61.11111,75,73.68421,55,76.47059,66.66667,88.88889,64.70589,83.33333,84.210526,78.94737,83.33333,80.952385,83.33333,68.75,57.894737,84.210526,76.190475,66.66667,89.47369
70,63.636364,85,85.71429,75,72.72727,70,72.72727,69.565216,84.210526,76.190475,77.77778,83.33333,81.818184,65.21739,82.608696,84.210526,85.71429,68.42105,81.818184,72.72727,80.952385,76.190475,65.21739,84.210526,85.71429,66.66667,76.190475,72.72727,84.210526,80.952385,71.42857,84.210526,80,73.91304,73.68421,76.190475,70,59.090908,63.636364,80.952385,77.27273,80.952385,72.72727,63.636364,78.94737,85,68.181816,71.42857,77.27273,84.210526,95,80,76.190475,70.83333,75,70,66.66667,86.36364,72.72727,66.66667,72.72727,69.565216,84.210526,76.190475,75,68.181816,82.608696,70,76.190475,65.21739,71.42857,71.42857,80.952385,69.565216,68.181816,61.904762,80.952385,61.904762,68.181816,70,83.33333,77.27273,71.42857,82.608696,71.42857,75,80.952385,68.181816,77.27273,60.869564,68.181816,84.210526,80,76.190475,71.42857
