cpu0,cpu1,cpu2,cpu3,cpu4,cpu5,cpu6,cpu7,cpu8,cpu9,cpu10,cpu11,cpu12,cpu13,cpu14,cpu15,cpu16,cpu17,cpu18,cpu19,cpu20,cpu21,cpu22,cpu23,cpu24,cpu25,cpu26,cpu27,cpu28,cpu29,cpu30,cpu31,cpu32,cpu33,cpu34,cpu35,cpu36,cpu37,cpu38,cpu39,cpu40,cpu41,cpu42,cpu43,cpu44,cpu45,cpu46,cpu47,cpu48,cpu49,cpu50,cpu51,cpu52,cpu53,cpu54,cpu55,cpu56,cpu57,cpu58,cpu59,cpu60,cpu61,cpu62,cpu63,cpu64,cpu65,cpu66,cpu67,cpu68,cpu69,cpu70,cpu71,cpu72,cpu73,cpu74,cpu75,cpu76,cpu77,cpu78,cpu79,cpu80,cpu81,cpu82,cpu83,cpu84,cpu85,cpu86,cpu87,cpu88,cpu89,cpu90,cpu91,cpu92,cpu93,cpu94,cpu95
0.8090615,0.80515295,1.2903225,0.96618354,0.48387098,0.9646302,0.8077544,0.96618354,0.80645156,0.80515295,1.4492754,0.80645156,0.80645156,0.80645156,0.80645156,0.80645156,0.80645156,0.80515295,0.6451613,1.6129031,0.96618354,0.96774197,0.80645156,2.2580645,1.2903225,0.96618354,0.96774197,0.96618354,0.6462036,0.80515295,1.9323671,0.80645156,1.2861736,0.96774197,0.80645156,0.80515295,0.96930534,1.7684888,0.80645156,0.80645156,0.80645156,0.80645156,0.96618354,0.80515295,1.2861736,0.96618354,0.80645156,0.96774197,0.9646302,0.80645156,1.1308562,0.96774197,0.80515295,0.6451613,0.80645156,0.8077544,1.1272142,0.96774197,0.96618354,1.453958,1.2882447,1.2882447,0.80645156,1.1308562,0.80645156,1.6103059,0.80645156,2.0967743,0.80645156,0.9646302,1.1272142,0.6451613,0.80645156,0.80645156,97.9066,0.96774197,0.80645156,0.6451613,0.6451613,1.607717,0.6462036,0.80515295,0.9646302,2.0967743,0.80645156,0.80645156,1.7713366,0.80645156,0.80645156,0.80645156,1.4492754,0.96618354,1.2903225,0.80515295,0.8077544,1.2861736
31.818182,25,35,28.57143,25,30.000002,33.333336,50,33.333336,25,35,31.818182,21.052631,28.57143,35,28.57143,23.809525,23.809525,28.57143,47.368423,40,33.333336,33.333336,47.368423,33.333336,28.57143,31.578945,31.578945,28.57143,21.052631,11.111112,25,33.333336,25,54.545456,35,35,30.000002,28.57143,25,28.57143,20,28.57143,31.578945,33.333336,25,25,28.57143,28.57143,20,40,28.57143,28.57143,25,31.818182,28.57143,31.578945,26.31579,23.809525,25,35,38.095238,28.57143,31.818182,28.57143,56.521736,33.333336,60.000004,28.57143,25,30.000002,31.818182,27.272728,28.57143,23.809525,28.57143,30.000002,23.809525,25,42.105263,25,28.57143,25,61.904762,27.272728,30.000002,47.61905,30.000002,33.333336,40.909092,40,28.57143,45,21.052631,27.272728,38.095238
26.31579,28.57143,38.095238,25,31.818182,31.578945,30.000002,70,28.57143,28.57143,33.333336,28.57143,27.272728,30.000002,33.333336,25,28.57143,28.57143,28.57143,52.380955,35,33.333336,28.57143,39.130436,28.57143,25,28.57143,52.380955,23.809525,28.57143,28.57143,23.809525,35,25,52.380955,22.727274,36.363636,27.272728,25,23.809525,25,28.57143,40.909092,31.818182,25,27.272728,23.809525,28.57143,33.333336,28.57143,38.095238,25,28.57143,25,28.57143,28.57143,36.363636,31.818182,28.57143,20,33.333336,38.095238,35,25,30.000002,60.000004,25,70,30.000002,23.809525,36.363636,23.809525,28.57143,28.57143,28.57143,28.57143,36.363636,28.57143,28.57143,47.61905,33.333336,25,25,60.869564,36.842106,28.57143,54.545456,30.000002,28.57143,54.545456,42.857143,23.809525,27.272728,28.57143,42.105263,35
25,21.052631,36.842106,23.809525,25,30.000002,30.000002,68.181816,21.052631,23.809525,25,20,25,21.052631,25,23.809525,25,23.809525,25,47.61905,36.842106,35,21.052631,21.052631,25,25,23.809525,45.454548,21.052631,23.809525,23.809525,28.57143,33.333336,27.272728,52.63158,21.052631,35,25,23.809525,25,28.57143,21.052631,26.31579,22.222223,25,25,31.578945,20,26.31579,25,26.31579,23.809525,26.31579,23.809525,31.578945,21.052631,31.578945,22.222223,30.000002,25,40,33.333336,45.454548,25,27.272728,50,25,66.66667,40,25,31.578945,25,25,25,30.000002,25,33.333336,26.31579,28.57143,42.857143,23.809525,25,21.052631,57.894737,45,25,47.61905,28.57143,25,45,42.105263,25,25,20,45.454548,35
31.578945,28.57143,50,40,25,35,30.000002,50,36.363636,28.57143,26.31579,30.000002,25,33.333336,25,31.818182,25,25,25,55,47.61905,35,26.31579,28.57143,25,31.818182,25,47.368423,28.57143,28.57143,28.57143,25,38.095238,30.000002,54.545456,30.000002,42.857143,25,35,28.57143,45,28.57143,30.000002,28.57143,38.095238,28.57143,28.57143,30.000002,26.31579,23.809525,35,30.000002,33.333336,25,38.095238,30.000002,30.000002,28.57143,23.809525,66.66667,33.333336,45.454548,36.842106,25,25,60.000004,25,61.904762,47.61905,21.052631,38.095238,30.000002,35,25,25,25,30.000002,33.333336,28.57143,15.789473,25,28.57143,28.57143,65.21739,42.857143,30.000002,52.63158,26.31579,30.000002,52.380955,47.61905,30.000002,26.31579,40.909092,26.31579,30.000002
28.57143,23.809525,35,36.363636,23.809525,28.57143,28.57143,40,35,20,27.272728,20,27.272728,25,28.57143,25,23.809525,23.809525,20,45,35,31.818182,27.272728,23.809525,27.272728,25,30.000002,42.105263,23.809525,20,23.809525,23.809525,27.272728,23.809525,52.63158,15.789473,33.333336,20,20,23.809525,40,23.809525,28.57143,27.272728,28.57143,28.57143,23.809525,23.809525,28.57143,27.272728,47.61905,23.809525,38.095238,23.809525,28.57143,23.809525,27.272728,23.809525,25,68.181816,25,35,27.272728,22.727274,27.272728,54.545456,23.809525,61.904762,38.095238,23.809525,38.095238,23.809525,33.333336,25,23.809525,25,23.809525,25,21.052631,23.809525,23.809525,20,38.095238,57.894737,23.809525,28.57143,25,23.809525,28.57143,47.61905,30.000002,28.57143,27.272728,40,28.57143,25
35,45,40,33.333336,28.57143,33.333336,31.818182,42.105263,28.57143,25,30.000002,23.809525,25,28.57143,28.57143,28.57143,25,34.782608,35,54.545456,40,27.777779,28.57143,25,25,33.333336,25,47.61905,27.272728,25,28.57143,21.052631,21.052631,27.272728,57.14286,21.052631,35,23.809525,21.052631,23.809525,40,28.57143,28.57143,25,35,30.000002,28.57143,25,33.333336,25,54.545456,33.333336,40,25,30.000002,28.57143,28.57143,30.000002,33.333336,71.42857,23.809525,38.095238,20,28.57143,21.052631,57.14286,25,68.181816,40,21.052631,38.88889,28.57143,35,25,25,23.809525,28.57143,31.818182,25,25,21.052631,20,42.105263,40,30.000002,30.000002,28.57143,23.809525,20,25,33.333336,36.363636,31.818182,50,25,47.61905
38.095238,25,25,20,25,22.222223,25,45,30.000002,22.222223,25,25,25,28.57143,23.809525,35,23.809525,21.052631,25,30.000002,35,30.000002,20,20,23.809525,47.368423,36.842106,45,25,25,20,23.809525,25,25,47.368423,25,35,25,25,47.368423,27.777779,23.809525,28.57143,20,35,25,26.31579,21.052631,25,23.809525,50,25,35,20,15.789473,25,35,23.809525,20,65,21.052631,20,21.052631,38.095238,21.052631,55,25,61.11111,40,23.809525,28.57143,20,23.809525,23.809525,23.809525,21.052631,21.052631,25,20,23.809525,33.333336,25,25,25,25,25,36.842106,25,20,21.052631,25,25,26.31579,42.105263,25,61.904762
21.052631,21.052631,15.789473,16.666668,16.666668,25,25,40,40,28.57143,28.57143,25,36.842106,21.052631,21.052631,33.333336,21.052631,25,21.052631,30.000002,36.842106,28.57143,21.052631,25,21.052631,45,42.105263,47.368423,26.31579,20,30.000002,21.052631,20,21.052631,26.31579,23.809525,33.333336,16.666668,20,47.368423,25,21.052631,25,21.052631,36.363636,20,21.052631,36.363636,30.000002,21.052631,47.058823,28.57143,31.578945,21.052631,21.052631,21.052631,26.31579,25,36.842106,66.66667,20,21.052631,21.052631,36.842106,25,52.63158,28.57143,57.894737,38.88889,15.789473,25,25,25,30.000002,21.052631,20,28.57143,25,21.052631,21.052631,36.842106,20,25,25,28.57143,25,36.842106,20,28.57143,21.052631,30.000002,21.052631,30.000002,44.444447,25,57.894737
35,21.052631,20,21.052631,20,21.052631,20,60.000004,31.578945,20,25,20,57.14286,20,21.052631,45,20,28.57143,25,35,21.052631,21.052631,21.052631,31.578945,21.052631,50,42.857143,42.105263,33.333336,21.052631,36.842106,15.789473,22.222223,21.052631,20,21.052631,31.578945,20,20,47.368423,20,21.052631,26.31579,20,27.777779,21.052631,20,30.000002,30.000002,20,50,15.789473,38.095238,20,30.000002,20,20,21.052631,42.105263,72.22222,21.052631,25,25,35,15.789473,52.380955,15.789473,61.11111,31.578945,35,16.666668,21.052631,20,33.333336,15.789473,15.789473,21.052631,21.052631,20,21.052631,45,21.052631,25,20,20,21.052631,36.842106,25,21.052631,25,21.052631,28.57143,30.000002,45,20,21.052631
