cpu0,cpu1,cpu2,cpu3,cpu4,cpu5,cpu6,cpu7,cpu8,cpu9,cpu10,cpu11,cpu12,cpu13,cpu14,cpu15,cpu16,cpu17,cpu18,cpu19,cpu20,cpu21,cpu22,cpu23,cpu24,cpu25,cpu26,cpu27,cpu28,cpu29,cpu30,cpu31,cpu32,cpu33,cpu34,cpu35,cpu36,cpu37,cpu38,cpu39,cpu40,cpu41,cpu42,cpu43,cpu44,cpu45,cpu46,cpu47,cpu48,cpu49,cpu50,cpu51,cpu52,cpu53,cpu54,cpu55,cpu56,cpu57,cpu58,cpu59,cpu60,cpu61,cpu62,cpu63,cpu64,cpu65,cpu66,cpu67,cpu68,cpu69,cpu70,cpu71,cpu72,cpu73,cpu74,cpu75,cpu76,cpu77,cpu78,cpu79,cpu80,cpu81,cpu82,cpu83,cpu84,cpu85,cpu86,cpu87,cpu88,cpu89,cpu90,cpu91,cpu92,cpu93,cpu94,cpu95
0.6896552,0.69084626,0.86206895,0.5163511,0.6896552,1.0344827,1.0344827,1.208981,0.68846816,0.6896552,0.68846816,0.5181347,0.34542313,0.5181347,0.6896552,0.3448276,0.69084626,0.68846816,0.51724136,0.6896552,0.3448276,0.3448276,0.68846816,0.1724138,0.68846816,0.34542313,0.86058515,0.17211704,0.3448276,0.6896552,0.69084626,0,0.17301038,0.3448276,0.5163511,0,0.34542313,0.6896552,0.86058515,0.34423408,0.51724136,0.51724136,98.96552,0,0.5181347,0.34542313,0.86206895,0.1724138,1.2068965,0.68846816,0.51724136,0.34423408,0.68846816,0.5181347,0.51724136,0.3448276,0.68846816,0.86206895,0.68846816,0,0.51724136,0.51724136,0.51724136,0,0.3448276,0.86206895,0.68846816,0,0.68846816,0.34542313,0.6896552,0,0.68846816,0.51724136,0.3448276,0.68846816,1.0362694,0.51724136,0.68846816,0.1724138,0.51724136,0.5181347,0.51724136,0.5163511,0.51724136,0.69084626,0.51724136,0.3448276,0.34542313,0.51724136,0.68846816,0.34542313,0.68728524,1.0362694,1.0309278,0.3448276
15.789473,30.000002,15.789473,15.789473,15.789473,20,21.052631,57.894737,15.000001,15.789473,20,28.57143,19.047619,31.818182,23.809525,20,35,15.789473,20,20,28.57143,15.789473,15.789473,21.052631,15.789473,20,15.789473,20,28.57143,20,26.31579,15.789473,20,25,25,30.000002,15.789473,15.789473,15.789473,28.57143,15.000001,20,42.105263,25,28.57143,20,20,23.809525,65,20,20,15.789473,30.000002,55,25,31.578945,20,20,15.789473,10.526316,20,31.578945,20,10,15.789473,50,19.047619,10.526316,20,28.57143,19.047619,15.000001,15.000001,15.789473,15.789473,15.000001,42.105263,42.105263,36.842106,19.047619,20,19.047619,35,15.000001,20,20,20,25,25,28.57143,15.789473,36.842106,15.789473,66.66667,15.789473,20
31.818182,40,28.57143,25,23.809525,28.57143,26.31579,63.636364,20,25,26.31579,36.842106,21.052631,40,21.052631,16.666668,40,23.809525,25,23.809525,36.363636,23.809525,21.052631,23.809525,25,21.052631,28.57143,21.052631,25,20,36.842106,21.052631,28.57143,25,40.909092,31.578945,25,28.57143,23.809525,28.57143,25,23.809525,50,38.095238,38.095238,23.809525,21.052631,25,66.66667,21.052631,20,26.31579,36.842106,57.14286,30.000002,45,25,20,25,23.809525,21.052631,30.000002,25,25,27.272728,52.380955,26.31579,23.809525,28.57143,35,21.052631,33.333336,25,20,25,21.052631,52.380955,42.857143,23.809525,21.052631,25,42.857143,52.380955,25,25,23.809525,35,33.333336,38.095238,28.57143,23.809525,52.380955,20,57.14286,33.333336,40
25,66.66667,25,23.809525,20,20,47.61905,61.904762,21.052631,22.727274,23.809525,38.095238,20,30.000002,23.809525,22.727274,23.809525,20,33.333336,25,28.57143,25,27.272728,25,23.809525,23.809525,23.809525,23.809525,25,23.809525,23.809525,27.272728,23.809525,23.809525,20,38.095238,23.809525,20,25,28.57143,20,25,52.380955,23.809525,31.818182,20,27.272728,23.809525,68.181816,23.809525,38.095238,23.809525,25,23.809525,23.809525,38.095238,20,25,23.809525,25,27.272728,23.809525,20,23.809525,25,59.090908,28.57143,25,28.57143,31.818182,28.57143,34.782608,25,20,33.333336,23.809525,54.545456,47.61905,20,20,20,25,54.545456,20,23.809525,20,28.57143,60.869564,33.333336,25,23.809525,40,20,23.809525,38.095238,33.333336
21.052631,65,20,21.052631,21.052631,20,47.61905,60.000004,23.809525,16.666668,20,38.095238,23.809525,40.909092,50,15.789473,25,23.809525,30.000002,23.809525,26.31579,20,20,23.809525,23.809525,20,23.809525,20,23.809525,20,31.818182,20,23.809525,23.809525,30.000002,30.000002,23.809525,57.14286,47.368423,20,20,20,50,20,28.57143,20,20,25,25,20,40,25,31.578945,15.789473,23.809525,36.842106,38.095238,20,20,20,20,23.809525,20,20,23.809525,20,20,20,25,30.000002,28.57143,22.222223,35,20,35,25,40,40,15.789473,20,25,21.052631,47.61905,15.000001,23.809525,20,26.31579,33.333336,30.000002,21.052631,35,45,25,21.052631,23.809525,25
28.57143,71.42857,30.000002,23.809525,27.272728,25,42.857143,45.454548,20,23.809525,20,38.095238,23.809525,40.909092,62.5,23.809525,23.809525,21.052631,30.000002,30.000002,36.363636,20,45.454548,30.000002,20,23.809525,23.809525,28.57143,30.000002,20,21.052631,25,25,20,52.173912,31.578945,20,36.363636,31.818182,23.809525,20,56.521736,28.57143,20,30.000002,25,38.095238,28.57143,25,23.809525,28.57143,23.809525,40.909092,25,21.052631,50,40,27.272728,23.809525,25,20,21.052631,25,25,23.809525,23.809525,38.095238,28.57143,31.818182,36.363636,28.57143,33.333336,38.095238,23.809525,40,20,23.809525,47.61905,25,23.809525,23.809525,23.809525,47.61905,25,23.809525,30.000002,25,20,30.000002,28.57143,27.777779,52.380955,52.380955,27.272728,25,20
26.31579,61.11111,42.105263,20,20,15.789473,36.842106,15.789473,20,23.809525,21.052631,15.789473,15.789473,27.777779,47.368423,15.789473,21.052631,20,20,25,25,20,55.555557,31.578945,20,23.809525,15.789473,26.31579,20,21.052631,28.57143,20,15.789473,25,47.368423,21.052631,15.789473,21.052631,21.052631,27.777779,23.809525,47.058823,15.789473,15.789473,21.052631,20,31.578945,21.052631,15.789473,21.052631,33.333336,16.666668,30.000002,20,39.130436,21.052631,40,20,26.31579,23.809525,20,20,20,20,16.666668,20,15.789473,20,15.789473,26.31579,21.052631,28.57143,23.809525,16.666668,36.842106,20,21.052631,40,20,15.789473,21.052631,20,15.000001,23.809525,16.666668,25,20,31.818182,30.000002,21.052631,15.000001,42.105263,61.11111,20,15.789473,20
31.578945,70,54.166668,25,25,23.809525,45,25,21.052631,30.000002,28.57143,25,28.57143,40.909092,57.14286,23.809525,20,23.809525,25,23.809525,33.333336,20,52.380955,45.454548,25,25,30.000002,40,30.000002,25,25,26.31579,25,25,54.545456,23.809525,25,52.380955,23.809525,40.909092,25,57.14286,25,25,33.333336,31.578945,25,30.000002,21.052631,25,42.857143,25,40,30.000002,21.052631,35,20,25,43.47826,25,28.57143,25,25,20,25,25,33.333336,21.052631,25,27.272728,30.000002,33.333336,25,27.272728,42.857143,25,27.272728,47.61905,30.000002,28.57143,28.57143,28.57143,20,20,33.333336,33.333336,23.809525,26.31579,35,23.809525,30.000002,50,70,25,23.809525,21.052631
30.000002,65,30.000002,20,23.809525,21.052631,42.857143,20,23.809525,20,21.052631,23.809525,15.789473,38.095238,52.380955,20,21.052631,23.809525,23.809525,15.789473,20,20,23.809525,45,15.789473,20,20,35,25,23.809525,20,23.809525,20,25,47.368423,28.57143,19.047619,50,20,35,20,56.521736,23.809525,23.809525,30.000002,36.363636,23.809525,22.222223,23.809525,20,45.454548,23.809525,33.333336,23.809525,27.272728,40.909092,25,20,38.095238,23.809525,25,20,20,23.809525,20,20,25,25,26.31579,15.789473,25,33.333336,15.789473,40,35,20,20,42.105263,15.000001,20,21.052631,20,20,23.809525,57.14286,25,38.095238,35,33.333336,21.052631,23.809525,45,60.000004,20,16.666668,23.809525
21.052631,70,25,20,21.052631,23.809525,42.105263,25,20,21.052631,30.000002,21.052631,23.809525,40,60.000004,25,23.809525,21.052631,28.57143,25,21.052631,25,22.222223,33.333336,20,23.809525,25,36.842106,25,20,21.052631,21.052631,21.052631,25,52.380955,20,21.052631,47.368423,21.052631,35,23.809525,55.555557,21.052631,21.052631,25,31.578945,21.052631,28.57143,21.052631,20,33.333336,21.052631,31.578945,26.31579,21.052631,31.578945,23.809525,20,33.333336,21.052631,20,20,21.052631,21.052631,23.809525,20,20,21.052631,25,25,25,26.31579,25,38.88889,45,25,21.052631,47.368423,21.052631,21.052631,21.052631,20,35,21.052631,60.000004,26.31579,21.052631,30.000002,31.578945,20,21.052631,50,66.66667,21.052631,23.809525,21.052631
