cpu0,cpu1,cpu2,cpu3,cpu4,cpu5,cpu6,cpu7,cpu8,cpu9,cpu10,cpu11,cpu12,cpu13,cpu14,cpu15,cpu16,cpu17,cpu18,cpu19,cpu20,cpu21,cpu22,cpu23,cpu24,cpu25,cpu26,cpu27,cpu28,cpu29,cpu30,cpu31,cpu32,cpu33,cpu34,cpu35,cpu36,cpu37,cpu38,cpu39,cpu40,cpu41,cpu42,cpu43,cpu44,cpu45,cpu46,cpu47,cpu48,cpu49,cpu50,cpu51,cpu52,cpu53,cpu54,cpu55,cpu56,cpu57,cpu58,cpu59,cpu60,cpu61,cpu62,cpu63,cpu64,cpu65,cpu66,cpu67,cpu68,cpu69,cpu70,cpu71,cpu72,cpu73,cpu74,cpu75,cpu76,cpu77,cpu78,cpu79,cpu80,cpu81,cpu82,cpu83,cpu84,cpu85,cpu86,cpu87,cpu88,cpu89,cpu90,cpu91,cpu92,cpu93,cpu94,cpu95
30.035759,31.54122,25.059668,31.942787,24.19547,31.137726,31.421745,30.035759,28.554361,29.916567,31.339714,24.940334,31.58522,26.4988,26.73031,25.838509,31.818182,25.567501,28.554361,30.78759,24.492233,31.384247,26.73031,31.861576,29.376497,31.421745,27.479092,28.4689,26.491648,31.497005,99.28315,25.448027,26.340881,30.78759,25.029797,24.821003,31.346842,25.148987,31.660694,31.257486,31.980907,26.881721,31.899643,32.061977,31.660694,30.346474,25.268177,31.780169,29.306221,31.980907,32.261906,31.572628,31.220097,25.833332,31.654676,25.802616,31.660694,25.090036,31.861576,31.861576,32.10024,31.980907,30.750895,31.698565,30.980862,32.10024,26.014318,31.899643,31.026253,32.019115,31.264915,24.492233,25.506556,24.970133,31.384247,31.823599,31.660694,31.899643,31.503578,31.616766,31.503578,24.67223,31.818182,31.660694,32.497013,31.578945,25.47847,24.851366,31.421745,29.271206,31.899643,31.660694,24.761906,27.120668,32.061977,24.821003
60.000004,61.904762,65,30.000002,60.000004,66.66667,60.000004,80,40,60.000004,55,61.904762,60.000004,65,70,68.42105,71.42857,60.000004,65,63.15789,52.63158,63.15789,63.15789,70,63.15789,63.15789,65,40,52.63158,68.42105,60.000004,65,75,75,72.22222,52.380955,61.11111,63.15789,60.000004,57.14286,63.15789,65,73.68421,65,60.000004,60.000004,55,52.63158,60.000004,57.894737,80,60.000004,57.894737,60.000004,66.66667,70,55,61.904762,52.63158,77.27273,66.66667,55,65,73.68421,72.22222,70,65,60.000004,52.63158,65,70,61.904762,63.15789,65,60.000004,80.952385,52.380955,63.15789,61.904762,68.42105,65,65,75,55,65,66.66667,65,57.14286,60.000004,65,60.000004,60.000004,57.894737,60.000004,57.14286,60.000004
60.000004,63.15789,60.000004,80,60.000004,65,68.42105,75,45,55,55,63.15789,65,68.42105,65,61.904762,68.42105,55,65,57.14286,63.15789,55,61.904762,70,60.000004,70,55,65,57.14286,66.66667,70,60.000004,78.94737,73.68421,71.42857,55,55,66.66667,60.000004,55,57.14286,60.000004,60.000004,55,57.14286,57.894737,68.42105,63.15789,60.000004,63.15789,85.71429,65,66.66667,60.000004,75,66.66667,55,55,57.14286,83.33333,70,65,61.904762,75,66.66667,73.68421,61.904762,65,60.000004,57.894737,68.42105,71.42857,60.000004,60.000004,52.380955,84.210526,60.000004,60.000004,65,65,63.15789,60.000004,73.68421,55,57.894737,70,63.15789,55,50,55,60.000004,55,60.000004,66.66667,60.000004,60.000004
60.000004,47.61905,55,76.190475,50,55,57.14286,75,52.380955,55,50,57.14286,57.14286,52.380955,70,50,59.090908,60.000004,57.14286,61.904762,50,50,50,70,60.000004,55,55,55,52.63158,57.894737,66.66667,57.14286,75,71.42857,60.000004,50,60.000004,60.000004,57.14286,47.368423,52.63158,57.894737,45,57.14286,57.894737,52.380955,50,47.61905,57.14286,52.380955,80,50,45,55,76.190475,55,50,57.894737,52.63158,75,61.904762,50,60.000004,66.66667,66.66667,70,52.63158,61.904762,50,47.61905,45,55,55,47.61905,68.42105,84.210526,52.63158,52.63158,50,68.181816,47.61905,50,71.42857,47.368423,60.000004,60.000004,68.181816,60.000004,45,50,50,52.380955,50,55,50,50
65,52.63158,60.000004,80,52.63158,57.894737,60.000004,84.210526,57.894737,52.63158,52.380955,63.15789,57.14286,65,68.42105,57.894737,72.22222,60.000004,60.000004,63.15789,50,60.000004,57.894737,61.904762,66.66667,70,60.000004,60.000004,55,68.42105,71.42857,57.894737,75,70,70,52.63158,60.000004,65,63.15789,55,59.090908,60.000004,55,52.63158,57.894737,65,52.380955,60.000004,60.000004,55,84.210526,63.15789,57.894737,47.368423,75,63.15789,57.894737,57.14286,61.904762,85,70,65,55,76.190475,75,75,60.000004,65,50,57.894737,57.14286,65,60.000004,60.000004,66.66667,61.904762,50,65,66.66667,68.42105,52.63158,55,70,60.000004,61.904762,65,70,55,55,50,61.904762,50,60.000004,70,50,70
60.000004,55,60.000004,80,55,65,65,80,55,65,55,60.000004,57.894737,60.000004,70,55,65,65,68.42105,60.000004,57.14286,65,52.380955,55,65,66.66667,66.66667,52.63158,50,60.000004,65,65,75,75,70,55,55,55,65,55,60.000004,70,57.894737,55,60.000004,57.894737,50,68.42105,60.000004,55,80,65,60.000004,60.000004,75,60.000004,57.894737,60.000004,50,84.210526,65,65,60.000004,70,65,73.68421,60.000004,60.000004,57.894737,65,57.894737,61.904762,70,63.15789,71.42857,50,55,60.000004,60.000004,70,65,89.47369,78.94737,55,60.000004,61.904762,75,55,57.894737,63.15789,57.894737,55,60.000004,55,61.904762,78.94737
52.63158,52.380955,50,76.190475,45,50,55,72.72727,50,50,47.368423,52.63158,55,57.894737,65.21739,52.63158,57.14286,50,50,42.857143,47.368423,50,52.380955,50,52.380955,57.894737,50,42.857143,47.368423,55,52.380955,54.545456,76.190475,71.42857,60.000004,45,47.368423,50,45,50,45,60.000004,54.545456,52.380955,52.380955,55,55,55,55,45,81.818184,50,50,52.63158,76.190475,57.14286,47.61905,47.368423,50,77.27273,60.000004,55,50,71.42857,60.000004,65,47.61905,45,47.61905,45,45,52.63158,47.61905,55,61.904762,45,47.368423,47.61905,42.105263,63.636364,52.380955,80.952385,71.42857,50,50,52.63158,52.380955,47.368423,45,50,57.14286,47.368423,47.368423,57.14286,68.42105,65
69.565216,57.894737,66.66667,80,52.63158,73.68421,65,77.77778,55,65,60.000004,60.000004,65,61.904762,75,65,63.15789,65,68.42105,55.555557,52.63158,57.894737,57.894737,60.000004,63.15789,68.42105,71.42857,55,61.904762,68.42105,63.15789,61.11111,80,60.000004,71.42857,57.894737,60.000004,55,57.14286,55,57.894737,63.15789,73.68421,66.66667,55,60.000004,63.15789,61.904762,65,55,84.210526,66.66667,60.000004,60.000004,76.190475,57.894737,57.894737,70,65,88.88889,65,57.894737,60.000004,75,61.11111,75,63.15789,57.894737,52.380955,57.894737,57.894737,61.904762,57.894737,65,71.42857,55,66.66667,60.000004,60.000004,70,66.66667,80.952385,75,57.894737,57.894737,52.63158,66.66667,52.380955,60.000004,61.904762,65,60.000004,55,68.42105,61.904762,75
52.63158,60.000004,57.894737,84.210526,57.14286,76.190475,60.000004,80,60.000004,60.000004,55,60.000004,60.000004,60.000004,71.42857,52.63158,60.000004,61.904762,57.14286,57.14286,57.14286,57.14286,52.63158,57.894737,55,55,65,57.14286,55,55,75,60.000004,80,30.000002,68.42105,57.14286,57.14286,63.15789,55,50,55,60.000004,57.14286,61.904762,57.14286,57.894737,50,60.000004,60.000004,57.14286,84.210526,60.000004,55,61.904762,76.190475,59.090908,65,63.15789,65,80.952385,63.15789,50,57.894737,72.22222,57.14286,71.42857,52.63158,60.000004,50,52.380955,52.380955,57.894737,52.63158,57.14286,73.68421,50,57.894737,57.894737,60.000004,65,60.000004,77.77778,78.94737,50,55,60.000004,63.15789,47.368423,50,57.894737,55,60.000004,61.904762,50,52.63158,73.68421
57.14286,57.14286,55,75,50,40,60.000004,73.68421,52.380955,57.14286,52.380955,50,50,65,63.15789,60.000004,60.000004,57.894737,52.380955,78.94737,42.857143,47.368423,57.14286,47.368423,47.368423,55,61.11111,47.368423,55,60.000004,63.15789,60.000004,75,55,63.15789,55,60.000004,60.000004,55,55,52.380955,52.380955,50,55,47.368423,59.090908,52.380955,57.14286,55,57.14286,85,55,57.894737,55,76.190475,57.894737,50,65,57.14286,55,65,57.14286,61.904762,70,55,70,47.61905,55,47.368423,50,52.63158,52.380955,45,55,70,55,60.000004,57.14286,60.000004,65,50,84.210526,76.190475,52.63158,60.000004,57.14286,65,55,50,50,50,47.368423,40,50,55,70
