cpu0,cpu1,cpu2,cpu3,cpu4,cpu5,cpu6,cpu7,cpu8,cpu9,cpu10,cpu11,cpu12,cpu13,cpu14,cpu15,cpu16,cpu17,cpu18,cpu19,cpu20,cpu21,cpu22,cpu23,cpu24,cpu25,cpu26,cpu27,cpu28,cpu29,cpu30,cpu31,cpu32,cpu33,cpu34,cpu35,cpu36,cpu37,cpu38,cpu39,cpu40,cpu41,cpu42,cpu43,cpu44,cpu45,cpu46,cpu47,cpu48,cpu49,cpu50,cpu51,cpu52,cpu53,cpu54,cpu55,cpu56,cpu57,cpu58,cpu59,cpu60,cpu61,cpu62,cpu63,cpu64,cpu65,cpu66,cpu67,cpu68,cpu69,cpu70,cpu71,cpu72,cpu73,cpu74,cpu75,cpu76,cpu77,cpu78,cpu79,cpu80,cpu81,cpu82,cpu83,cpu84,cpu85,cpu86,cpu87,cpu88,cpu89,cpu90,cpu91,cpu92,cpu93,cpu94,cpu95
0.913242,1.0622154,1.5151515,0.9104704,0.9077156,1.0606061,1.2139605,1.2121211,1.2121211,1.5128593,1.3595166,1.0606061,0.30303028,1.0606061,3.030303,1.104101,0.30303028,1.2139605,1.6666667,0.75872535,0.4552352,0.9104704,1.2139605,0.9104704,0.30257186,0.9104704,1.3636364,1.0590014,1.0622154,0.9104704,1.2121211,0.9090909,1.5174507,0.9118541,1.6641452,1.0590014,0.9090909,1.0606061,1.3615733,1.0638298,0.45454544,1.3615733,1.8154312,1.5174507,0.60698026,0.75987846,1.2158055,1.0590014,0.15128593,1.2121211,96.36363,1.2121211,1.3615733,1.3615733,1.0622154,0.9104704,0.15128593,0.9104704,1.2139605,1.0590014,0.30303028,1.0606061,1.6691957,0.9104704,0.4538578,1.2102875,1.0622154,0.9090909,0.4538578,1.2102875,2.1212122,0.9104704,0.9077156,1.3615733,1.0606061,0.9104704,0.30303028,1.3615733,1.3636364,0.9090909,0.9063444,1.0606061,1.2102875,1.0590014,0.75757575,1.0606061,1.3657056,1.0606061,1.0590014,1.0622154,1.5128593,0.9090909,0.30303028,1.5151515,1.2121211,1.0590014
36.842106,26.31579,50,26.31579,36.842106,21.052631,36.842106,33.333336,33.333336,31.578945,15.789473,20,15.789473,16.666668,44.444447,20,20,21.052631,15.789473,15.789473,21.052631,15.789473,20,20,55,20,15.789473,15.789473,15.789473,22.222223,15.789473,15.789473,21.052631,57.14286,22.222223,21.052631,26.31579,15.789473,11.111112,21.052631,15.789473,21.052631,36.842106,19.047619,15.789473,15.789473,21.052631,15.789473,11.111112,15.789473,50,20,10.526316,15.789473,20,20,23.529411,15.789473,15.789473,25,15.789473,15.789473,15.789473,33.333336,21.052631,15.789473,21.052631,20,15.789473,11.111112,55,20,15.789473,21.052631,21.052631,21.052631,15.789473,15.789473,27.777779,20,15.789473,15.789473,20,20,20,15.789473,23.529411,20,15.789473,15.789473,52.380955,27.777779,15.789473,22.222223,16.666668,20
23.809525,31.578945,50,15.789473,44.444447,16.666668,40,47.61905,26.31579,31.578945,21.052631,20,20,20,45,16.666668,20,30.000002,21.052631,22.727274,21.052631,23.809525,21.052631,15.789473,50,21.052631,23.809525,20,20,25,21.052631,20,26.31579,40,21.052631,26.31579,33.333336,28.57143,38.095238,28.57143,30.000002,21.052631,31.578945,16.666668,20,20,20,21.052631,20,30.000002,44.444447,38.88889,20,25,20,15.789473,20,20,30.000002,21.052631,16.666668,20,20,40,30.000002,21.052631,33.333336,21.052631,25,20,55.555557,26.31579,20,21.052631,30.000002,33.333336,20,20,31.578945,20,25,20,15.789473,20,20,21.052631,38.095238,31.578945,15.789473,20,52.380955,42.857143,20,20,26.31579,20
23.809525,26.31579,45,19.047619,42.857143,20,35,36.842106,19.047619,35,20,19.047619,20,20,40,25,20,25,25,15.789473,25,19.047619,19.047619,19.047619,60.000004,19.047619,20,20,15.789473,20,28.57143,19.047619,25,19.047619,25,20,19.047619,20,40,25,36.842106,20,30.000002,19.047619,20,19.047619,20,20,20,31.818182,45,57.894737,15.000001,20,20,20,20,20,28.57143,22.727274,19.047619,23.809525,21.052631,31.578945,30.000002,20,30.000002,20,19.047619,20,52.380955,15.789473,19.047619,19.047619,25,25,19.047619,20,26.31579,20,23.809525,19.047619,19.047619,15.789473,23.809525,19.047619,30.000002,33.333336,19.047619,20,20,26.31579,19.047619,20,23.809525,19.047619
21.052631,33.333336,50,20,45,28.57143,42.857143,45.454548,25,38.095238,36.363636,20,15.000001,23.809525,45,28.57143,19.047619,23.809525,20,23.809525,28.57143,20,23.809525,27.272728,50,20,23.809525,23.809525,31.818182,21.052631,20,15.789473,23.809525,25,27.272728,20,21.052631,23.809525,40,25,45.454548,28.57143,38.095238,20,20,23.809525,23.809525,23.809525,27.272728,30.000002,52.380955,59.090908,20,25,20,27.272728,20,28.57143,26.31579,21.052631,23.809525,25,23.809525,43.47826,28.57143,23.809525,21.052631,23.809525,20,20,55,27.272728,20,21.052631,21.052631,30.000002,20,20,33.333336,20,21.052631,20,20,20,21.052631,23.809525,38.095238,43.47826,20,23.809525,20,43.47826,20,15.000001,31.578945,20
20,36.363636,54.545456,20,50,30.434782,42.857143,47.61905,23.809525,45.454548,23.809525,20,23.809525,25,23.809525,28.57143,25,27.272728,27.272728,23.809525,25,23.809525,23.809525,20,57.14286,25,38.095238,22.727274,30.000002,30.000002,20,23.809525,33.333336,23.809525,23.809525,20,23.809525,28.57143,28.57143,20,47.61905,25,52.173912,27.272728,23.809525,21.052631,25,20,20,30.000002,47.61905,61.904762,23.809525,31.818182,23.809525,21.052631,20,50,47.61905,28.57143,25,28.57143,20,45.454548,38.095238,20,23.809525,20,27.272728,28.57143,55,28.57143,23.809525,27.272728,31.818182,31.818182,20,23.809525,38.095238,23.809525,27.272728,20,30.000002,20,28.57143,20,40.909092,40.909092,20,23.809525,27.272728,42.857143,25,28.57143,23.809525,15.789473
16.666668,15.789473,47.368423,15.000001,35.294117,15.789473,31.578945,40,20,30.000002,15.789473,20,23.809525,19.047619,15.000001,25,15.000001,15.789473,20,15.000001,19.047619,15.789473,15.789473,15.789473,50,19.047619,23.529411,15.789473,25,15.000001,20,19.047619,23.809525,16.666668,15.789473,15.789473,20,21.052631,15.789473,19.047619,36.842106,20,31.578945,11.111112,15.789473,19.047619,25,28.57143,20,25,44.444447,55.555557,19.047619,20,23.809525,22.727274,20,42.105263,45,19.047619,19.047619,23.809525,15.000001,29.411766,22.222223,15.789473,20,20,15.789473,20,55,20,20,15.789473,20,22.222223,15.789473,20,26.31579,19.047619,15.789473,19.047619,20,19.047619,23.809525,20,33.333336,31.578945,15.000001,15.789473,30.000002,29.411766,20,21.052631,20,19.047619
15.789473,22.222223,50,20,42.105263,21.052631,21.052631,40,20,31.578945,20,15.789473,15.789473,15.789473,15.789473,21.052631,20,21.052631,20,20,11.111112,20,21.052631,20,59.090908,16.666668,30.000002,15.789473,26.31579,15.789473,20,20,22.222223,15.789473,16.666668,23.809525,21.052631,21.052631,25,15.789473,30.000002,20,36.842106,20,21.052631,15.789473,25,40,15.789473,22.222223,47.368423,61.904762,15.789473,16.666668,26.31579,21.052631,15.789473,47.368423,40,21.052631,15.789473,21.052631,15.789473,35,30.000002,23.809525,20,22.222223,20,20,47.368423,21.052631,15.789473,23.809525,30.000002,21.052631,15.789473,20,35,16.666668,20,15.789473,15.789473,15.789473,21.052631,20,33.333336,38.095238,20,20,21.052631,28.57143,20,26.31579,28.57143,21.052631
25,31.818182,52.63158,23.809525,47.61905,28.57143,28.57143,47.61905,25,42.857143,23.809525,27.272728,27.272728,23.809525,25,31.818182,23.809525,27.272728,25,20,27.272728,25,22.727274,27.272728,60.000004,27.272728,36.363636,27.272728,40.909092,23.809525,31.818182,25,31.818182,27.272728,38.095238,25,33.333336,33.333336,25,28.57143,23.809525,28.57143,45,23.809525,23.809525,25,23.809525,45.454548,23.809525,40.909092,50,60.000004,23.809525,34.782608,40,20,27.272728,47.61905,45,23.809525,28.57143,31.818182,23.809525,42.857143,38.095238,25,28.57143,42.857143,23.809525,25,60.869564,28.57143,20,23.809525,28.57143,38.095238,27.272728,23.809525,33.333336,27.272728,30.434782,23.809525,23.809525,27.272728,33.333336,23.809525,31.578945,36.842106,28.57143,25,23.809525,27.272728,25,36.363636,20,27.272728
25,30.000002,42.105263,21.052631,50,28.57143,21.052631,33.333336,20,40,21.052631,23.809525,25,20,20,26.31579,25,25,21.052631,23.809525,25,23.809525,25,21.052631,57.894737,21.052631,35,21.052631,31.578945,21.052631,25,20,31.578945,20,42.105263,21.052631,30.000002,26.31579,26.31579,20,23.809525,25,45,20,16.666668,23.809525,21.052631,45,25,20,55,70,20,23.529411,45,25,21.052631,50,47.368423,31.578945,23.809525,31.578945,30.000002,45,26.31579,25,21.052631,42.857143,26.31579,21.052631,61.11111,21.052631,20,22.222223,26.31579,33.333336,25,21.052631,21.052631,20,20,30.000002,20,25,26.31579,21.052631,30.000002,35,15.789473,23.809525,25,21.052631,21.052631,30.000002,21.052631,20
