cpu0,cpu1,cpu2,cpu3,cpu4,cpu5,cpu6,cpu7,cpu8,cpu9,cpu10,cpu11,cpu12,cpu13,cpu14,cpu15,cpu16,cpu17,cpu18,cpu19,cpu20,cpu21,cpu22,cpu23,cpu24,cpu25,cpu26,cpu27,cpu28,cpu29,cpu30,cpu31,cpu32,cpu33,cpu34,cpu35,cpu36,cpu37,cpu38,cpu39,cpu40,cpu41,cpu42,cpu43,cpu44,cpu45,cpu46,cpu47,cpu48,cpu49,cpu50,cpu51,cpu52,cpu53,cpu54,cpu55,cpu56,cpu57,cpu58,cpu59,cpu60,cpu61,cpu62,cpu63,cpu64,cpu65,cpu66,cpu67,cpu68,cpu69,cpu70,cpu71,cpu72,cpu73,cpu74,cpu75,cpu76,cpu77,cpu78,cpu79,cpu80,cpu81,cpu82,cpu83,cpu84,cpu85,cpu86,cpu87,cpu88,cpu89,cpu90,cpu91,cpu92,cpu93,cpu94,cpu95
5.555556,5.263158,9.523809,9.523809,10,9.523809,5,5,9.523809,10,10,9.523809,9.523809,9.523809,15.000001,10,5,10,5,5,9.523809,9.523809,9.523809,5,9.523809,9.523809,5.263158,15.789473,10,10,5.263158,10,10,9.523809,5,10,10,5.263158,5,9.523809,10,10,5,10,10,5,9.523809,9.523809,10,10,9.523809,10.526316,9.523809,5,10,9.523809,10,5.263158,10.526316,15.789473,5.263158,10,5.263158,9.523809,5,5.263158,9.523809,10,5,10,80,15.000001,9.523809,15.000001,9.523809,10,5.263158,10,19.047619,5,10,15.000001,5,10,15.789473,5.263158,20,5,20,10,5,5,9.523809,0,10,5
10,5,5,5,0,5,5,5.263158,5,5,9.523809,0,5,5,14.285715,14.285715,9.523809,5,9.523809,0,5,0,5,5,10,5,5,15.000001,5,5,4.7619047,5,9.523809,5,5,5.263158,9.523809,5,5,0,5,5.263158,5,5,5,5,5,5,5,5,5,10,5,5,5,5,10,10,5,19.047619,5,10,5,10,5,9.523809,0,5,5,5,5,10.526316,5,10,5,5,5.263158,5,10.526316,5,0,10,5,5.263158,15.000001,9.523809,35,5,15.000001,5,60.000004,5,0,5,5,5
15.789473,9.523809,10.526316,5.263158,9.523809,5.263158,10,5,10,10,26.31579,9.523809,10,10,20,10,47.368423,15.000001,5.263158,10,5.263158,10,5.263158,5.263158,5.263158,5,10,20,9.523809,9.523809,5.263158,10,10,5.263158,10,14.285715,10,9.523809,10,10,10,10,10,5,14.285715,10.526316,10,5.263158,10,10,5.263158,15.000001,5.263158,10,5,5.263158,10,10,10.526316,23.809525,10,10,9.523809,5,9.523809,10,9.523809,5,10,5,5.263158,15.000001,10,10.526316,5.263158,5,10,10,20,10,10,10.526316,9.523809,14.285715,19.047619,5.263158,10.526316,10,23.809525,10,63.15789,10,14.285715,10,5,10
19.047619,10,10,9.523809,10,9.523809,10,10,5,5,25,10,10,5,23.809525,5,76.190475,10,9.523809,9.523809,9.523809,9.523809,38.095238,9.523809,9.523809,10,5,20,5.263158,10,10,9.523809,9.523809,5,5.263158,15.000001,10,10,9.523809,9.523809,10,15.000001,36.842106,10,10.526316,19.047619,5.263158,10,9.523809,9.523809,10,15.000001,10,9.523809,10,5.263158,10.526316,10,15.000001,25,9.523809,10.526316,9.523809,10,10,10,10,10,5,10,9.523809,15.000001,9.523809,22.727274,10,9.523809,10,10,20,5,10,20,10.526316,5.555556,20,10,15.000001,10,21.052631,10.526316,9.523809,10,10,9.523809,10,9.523809
15.000001,0,9.523809,5,5,5,5,9.523809,5,9.523809,10,5,9.523809,9.523809,10,9.523809,35,9.523809,5,5,9.523809,5,5,0,5,5,5.263158,19.047619,5,9.523809,9.523809,5,5,9.523809,9.090909,9.523809,0,5,9.523809,5,5,5,9.523809,5,5,10,9.523809,4.7619047,10,5,9.523809,10,5,5,5,9.523809,9.523809,9.523809,10,15.000001,10,5.263158,0,9.523809,25,5.263158,9.523809,9.523809,5.263158,5,9.523809,15.000001,9.523809,10,4.7619047,5,9.523809,9.523809,14.285715,9.523809,4.7619047,14.285715,85,10,15.000001,9.523809,10,9.523809,18.181818,5,9.523809,5,10,5,9.523809,5
15.000001,10,19.047619,10,9.523809,10,5,5,10,10,19.047619,5,10,10,15.000001,5.263158,14.285715,14.285715,40,10,5.263158,10,10,5,5.263158,9.523809,9.523809,20,9.523809,5.263158,14.285715,10,10,10,15.789473,10.526316,9.523809,5,10,10,5,15.000001,0,9.523809,10,15.789473,5,5.263158,5,10,5,9.523809,10,5.263158,9.523809,9.523809,19.047619,10,14.285715,20,10,15.000001,10,10,25,9.523809,5.263158,5,5,9.523809,10,15.000001,5.263158,10.526316,10,10,10.526316,14.285715,15.789473,5.263158,5.263158,19.047619,45,15.000001,15.000001,5,15.000001,5,20,14.285715,10,5,14.285715,10,5.263158,10
10,9.523809,10,9.523809,10,5,5,10,5,0,5,5,5,5,15.000001,5,5.263158,5.263158,0,5,5,5,0,5,5,5,10,19.047619,0,5,5,5,5,5.263158,89.47369,10,5,5,5,0,9.523809,5.263158,4.7619047,0,5.263158,10,5,5,10,9.523809,5,5,5,9.523809,5,5,5.263158,5,5.263158,15.000001,0,10,0,5,5,5.263158,9.523809,5,5,5.263158,0,10,5,10,5,5,5,5.263158,15.000001,5,9.523809,10,0,9.523809,15.000001,5,5.263158,5,15.000001,5,5,10,0,5,5,5
20,5.263158,15.000001,5,9.523809,10,10,14.285715,10,10,10.526316,10,10,10,15.000001,5.263158,10,10,10,14.285715,10,9.523809,9.523809,5,15.000001,10,5,20,10,9.523809,10,10,5,9.523809,38.095238,10,15.789473,10,10,9.523809,10,10,10,10,10,15.789473,10,9.523809,9.523809,9.523809,14.285715,10,10,9.523809,5.263158,10,9.523809,10,15.000001,25,13.636364,9.523809,40.909092,5.263158,10,9.523809,9.523809,5.263158,14.285715,14.285715,9.523809,15.789473,9.523809,10,9.523809,5,15.000001,10,22.727274,9.523809,10,19.047619,23.809525,10.526316,9.523809,10,14.285715,10,20,10,10,9.523809,10,9.523809,5,10
10,9.523809,5.263158,9.523809,5,19.047619,5,10,9.523809,9.523809,10,5,10,5,10.526316,5.263158,10,5,9.523809,5,5,5,9.523809,9.523809,13.636364,5,9.523809,20,9.523809,5,10,5,9.523809,10,9.523809,10,15.000001,9.523809,5,9.523809,5,10,5,9.523809,9.523809,14.285715,38.095238,5,5.263158,5.263158,5,5,5,5,9.523809,5,9.523809,5,10,20,9.523809,5,5,9.523809,9.523809,5.263158,5.263158,9.090909,5,10,9.523809,14.285715,5,9.523809,5,5,9.523809,9.523809,10.526316,9.523809,5,10.526316,23.809525,10,5,5,10,5,15.789473,5,38.095238,9.523809,10,5,9.523809,5
15.000001,5,15.000001,5.263158,5.263158,15.000001,9.523809,9.523809,5,10,10,5,9.523809,9.523809,15.000001,10,14.285715,10,10,5,5,5.263158,5.263158,5,10.526316,5,5.263158,15.789473,10,10,5,10,5.263158,5,5.263158,10,20,5,5,5.263158,5,10,9.523809,5,14.285715,15.000001,10,10,9.523809,5,5,9.523809,13.636364,10,9.523809,5,5.263158,9.523809,15.000001,20,5.263158,5.263158,35,10,5,10,40,5.263158,5,15.000001,21.052631,15.789473,10,5.263158,5.263158,10,10,10,15.789473,5.263158,9.523809,19.047619,5.263158,10,5.263158,5,15.000001,9.523809,23.809525,5,10,5.263158,10,5.263158,5.263158,9.523809
