cpu0,cpu1,cpu2,cpu3,cpu4,cpu5,cpu6,cpu7,cpu8,cpu9,cpu10,cpu11,cpu12,cpu13,cpu14,cpu15,cpu16,cpu17,cpu18,cpu19,cpu20,cpu21,cpu22,cpu23,cpu24,cpu25,cpu26,cpu27,cpu28,cpu29,cpu30,cpu31,cpu32,cpu33,cpu34,cpu35,cpu36,cpu37,cpu38,cpu39,cpu40,cpu41,cpu42,cpu43,cpu44,cpu45,cpu46,cpu47,cpu48,cpu49,cpu50,cpu51,cpu52,cpu53,cpu54,cpu55,cpu56,cpu57,cpu58,cpu59,cpu60,cpu61,cpu62,cpu63,cpu64,cpu65,cpu66,cpu67,cpu68,cpu69,cpu70,cpu71,cpu72,cpu73,cpu74,cpu75,cpu76,cpu77,cpu78,cpu79,cpu80,cpu81,cpu82,cpu83,cpu84,cpu85,cpu86,cpu87,cpu88,cpu89,cpu90,cpu91,cpu92,cpu93,cpu94,cpu95
21.73913,10,5,5.263158,10,5.263158,0,10,10,10,5.263158,5,15.789473,10,10,5,5.263158,9.523809,10,9.523809,9.523809,9.523809,9.523809,9.523809,5.263158,5,10,5.263158,5,10,5.263158,14.285715,10.526316,10,11.111112,10,10,14.285715,0,23.809525,5,10,9.523809,9.523809,10,10,10,10,10,20,10,5.263158,14.285715,10,10.526316,10,10,14.285715,10,9.523809,5,5.263158,10,5.263158,5.555556,10,5.263158,9.523809,5,10.526316,10,15.000001,10,5,5,10,85.71429,10,5,10,9.523809,5.263158,5,5.263158,5.263158,15.000001,15.000001,9.523809,5.263158,5,10,5,14.285715,5.263158,9.523809,10.526316
5.263158,9.523809,5.263158,5,14.285715,5,9.523809,5,5,5,5,10,15.000001,5,10,10,9.523809,5,5,5,5,5.263158,10,5,5,5,9.523809,5,9.523809,5.263158,9.523809,5.263158,14.285715,10,14.285715,5,5,9.523809,5,15.000001,10,10,5.263158,5.263158,9.523809,5,10,5,5,15.000001,10,5,9.523809,10,10.526316,5,5,5,5,5.263158,5.263158,9.523809,5,5,45,9.523809,14.285715,5,38.095238,5,9.523809,10,9.523809,5,5,10,30.000002,10,9.523809,5.263158,5.263158,9.523809,5.263158,5,9.523809,10,15.000001,10,5,5.263158,5,5,10,9.523809,5.263158,14.285715
10,19.047619,10,10,14.285715,10,14.285715,14.285715,10,5.263158,10,5.263158,27.272728,10,10.526316,10,10.526316,10,10,10,10.526316,5.263158,10,5.263158,10,10,10,10,10,10,15.000001,15.789473,10.526316,15.000001,25,5.263158,10,10,10,28.57143,10,10.526316,5.263158,14.285715,15.000001,5.263158,10,10,10,25,10,10,10.526316,15.000001,20,10,10,10,10,10,10,15.000001,10,10,20,5.263158,10.526316,10,10.526316,10,5.263158,20,10.526316,10,10,15.000001,5.263158,10,5.263158,14.285715,70,10,9.523809,10,20,20,25,20,10,10,10,10,15.789473,5.263158,10,15.000001
10,14.285715,9.523809,10,10.526316,10,10,10,10,10,9.523809,10,15.789473,10,14.285715,5,9.523809,5.263158,5.263158,10,9.523809,9.523809,10,10,10,14.285715,5.263158,10,10,9.523809,14.285715,14.285715,10,10,15.000001,10,5.263158,10,5.263158,20,5,10,9.523809,10,10,9.523809,14.285715,10,10,15.000001,10.526316,9.523809,9.523809,15.000001,19.047619,10,5.263158,5.263158,5.263158,9.523809,10,14.285715,10,10,19.047619,10,15.000001,10,9.523809,5.263158,10,19.047619,10,5.263158,5,15.000001,10,10,10,9.523809,9.523809,5.263158,10,10,90,19.047619,15.000001,15.000001,10,14.285715,10,5.263158,19.047619,9.523809,9.523809,15.000001
15.000001,15.000001,14.285715,14.285715,19.047619,14.285715,10.526316,10.526316,10,14.285715,10,14.285715,28.57143,14.285715,23.809525,15.000001,15.000001,14.285715,15.000001,14.285715,10.526316,14.285715,15.000001,14.285715,10,10,15.000001,14.285715,19.047619,10.526316,10.526316,23.809525,14.285715,19.047619,28.57143,15.000001,14.285715,10,14.285715,30.000002,14.285715,19.047619,15.000001,15.000001,15.000001,15.000001,15.000001,10,14.285715,30.000002,19.047619,15.000001,10.526316,23.809525,23.809525,14.285715,14.285715,14.285715,14.285715,10.526316,14.285715,15.000001,10,14.285715,27.272728,14.285715,22.727274,15.000001,15.000001,14.285715,15.000001,28.57143,15.000001,14.285715,15.000001,19.047619,18.181818,15.000001,10,15.000001,14.285715,14.285715,14.285715,14.285715,75,20,25,15.789473,14.285715,20,10.526316,14.285715,20,15.000001,10,25
5.263158,5.263158,10,5.263158,10,5.263158,9.523809,10,9.523809,5.263158,10,5,15.789473,5.263158,10.526316,5,5.263158,5.263158,9.523809,10,5,5.263158,5.263158,5,10,10,9.523809,5,31.578945,9.523809,10,5.555556,5.263158,5.263158,15.000001,5,10,10,5,15.789473,5.263158,10.526316,9.523809,10,10,5,10,5,5.263158,15.000001,5.263158,5,10,5.263158,15.000001,5.263158,10,5.263158,5,9.523809,5.263158,10,10,5,10.526316,5.263158,10.526316,5,5,5.263158,5.263158,10,10,0,5,10,5.263158,5.263158,10,10,65,5.263158,5.263158,10,5.263158,10,19.047619,15.000001,5.263158,10,9.523809,5.263158,10.526316,5,5.263158,15.000001
47.61905,15.000001,10.526316,14.285715,19.047619,15.000001,10.526316,10,10.526316,15.000001,10,10.526316,25,14.285715,19.047619,15.000001,14.285715,10,15.000001,10,10.526316,10,19.047619,10.526316,10,5.263158,10.526316,10.526316,10,10.526316,15.000001,20,10,19.047619,21.052631,15.000001,10,15.000001,10,25,10,19.047619,10.526316,10.526316,15.000001,10.526316,19.047619,15.000001,14.285715,28.57143,15.000001,10.526316,10,20,20,14.285715,10,15.000001,15.000001,10.526316,14.285715,15.000001,10,10.526316,21.052631,10,20,10.526316,10.526316,14.285715,19.047619,25,15.000001,10.526316,10,15.000001,10,15.000001,10,10,50,14.285715,10,10,14.285715,21.052631,21.052631,19.047619,10,20,10.526316,10,15.000001,10.526316,14.285715,27.272728
90,14.285715,5,5.263158,10.526316,10,10,10,10,9.523809,10,10,15.789473,5.263158,10.526316,5.263158,10,10,5.263158,10,5,5,5.263158,9.523809,14.285715,10,9.523809,9.523809,5.263158,10,10,10,10,10,15.000001,10,5.263158,10,10,20,10,10,9.523809,10,5.263158,9.523809,10,5,5.263158,19.047619,10,9.523809,10,10,10.526316,5.263158,10,9.523809,9.523809,9.523809,10,10,5.263158,9.523809,18.181818,5.263158,10,9.523809,5.263158,10,5.263158,10,5.263158,9.523809,10,10.526316,5.263158,10.526316,9.523809,10,5.263158,10,5,10,5.263158,14.285715,15.000001,15.000001,10,10,9.523809,10,10.526316,5,5.263158,10
25,5.263158,10,10,10,10,5.263158,10,36.842106,5.263158,9.523809,10,19.047619,10,10,5,10,5,9.523809,5.263158,40,5.263158,9.523809,10,5.263158,5,5.263158,5.263158,9.523809,9.523809,10,15.000001,5,10,20,10,9.523809,5.263158,0,20,5,10,5.263158,9.523809,10,5.263158,10,10,10,20,5.263158,5.263158,10,10.526316,19.047619,10,5.263158,5.263158,5.263158,5.263158,5.263158,5.555556,10,5.263158,15.789473,10,10.526316,5.263158,9.523809,5,10,15.789473,10,5.263158,5,10,9.523809,9.523809,5.263158,5.263158,9.523809,5.263158,5.263158,10,9.523809,19.047619,19.047619,10.526316,5.263158,15.000001,10,9.523809,15.000001,10,9.523809,15.000001
10.526316,19.047619,15.000001,14.285715,19.047619,14.285715,18.181818,15.000001,15.000001,15.000001,10.526316,14.285715,30.000002,14.285715,19.047619,15.000001,15.000001,15.000001,15.000001,14.285715,19.047619,14.285715,19.047619,10,15.000001,14.285715,15.000001,14.285715,15.000001,10.526316,15.000001,20,15.000001,10.526316,25,10,10.526316,19.047619,14.285715,30.000002,15.000001,15.789473,14.285715,15.000001,15.000001,14.285715,10.526316,10,14.285715,26.31579,15.000001,14.285715,10,20,25,10,14.285715,15.000001,14.285715,15.000001,45.454548,19.047619,15.000001,14.285715,20,19.047619,19.047619,15.000001,15.000001,10.526316,14.285715,20,15.000001,14.285715,10.526316,15.000001,45,15.000001,15.000001,15.000001,10.526316,14.285715,14.285715,15.000001,10.526316,21.052631,30.000002,20,14.285715,15.789473,10,15.000001,20,10,15.000001,16.666668
18.181818,10,10,10,15.000001,15.000001,10.526316,14.285715,55,14.285715,10,10,20,10.526316,15.000001,10,14.285715,14.285715,14.285715,14.285715,10,10,10.526316,10,14.285715,10,14.285715,10.526316,10,14.285715,18.181818,19.047619,10,10,19.047619,14.285715,10,14.285715,10,23.809525,10,19.047619,10,15.000001,15.000001,10.526316,15.000001,10,10,19.047619,15.000001,10,10,15.000001,19.047619,14.285715,10,14.285715,10.526316,10,10.526316,15.000001,10,10,20,10,15.000001,5.263158,10,14.285715,10.526316,22.727274,14.285715,10,10,19.047619,10,10.526316,18.181818,14.285715,10,10.526316,10,10,10,15.000001,19.047619,20,10,19.047619,10,10,52.380955,10,14.285715,22.727274
10,14.285715,10,10,10,9.523809,10,10,85,10,10,10,15.789473,10,10.526316,10,10,5.263158,10,10,10,10,14.285715,10,10,5.263158,10,14.285715,10,10,5.263158,15.000001,10,10,20,10,10,10,5.263158,25,5,10,10,10,10,10,14.285715,10,10,25,10,10,10,10,20,10.526316,10,5.263158,9.523809,5,9.523809,14.285715,10,10,20,10,10.526316,10,10,10,10,20,14.285715,5.263158,10,10.526316,10,10,10,10,9.523809,10,5.263158,14.285715,10,15.000001,20,18.181818,5.263158,19.047619,10,5,15.000001,10,10,20
20,15.000001,14.285715,15.000001,15.000001,15.789473,15.000001,15.000001,20,10.526316,15.000001,15.000001,28.57143,15.000001,19.047619,14.285715,10.526316,15.000001,15.000001,15.000001,10.526316,15.000001,15.000001,14.285715,10.526316,15.000001,15.000001,15.000001,15.000001,10.526316,15.789473,19.047619,10.526316,15.000001,25,15.000001,15.000001,20,15.000001,25,47.368423,20,10.526316,15.000001,19.047619,10,15.000001,15.000001,10.526316,25,15.789473,10.526316,10.526316,23.809525,23.809525,10,15.000001,15.000001,10.526316,15.000001,47.368423,15.000001,15.000001,10.526316,20,15.000001,23.809525,14.285715,15.000001,19.047619,19.047619,23.809525,15.000001,15.000001,19.047619,20,15.000001,15.000001,15.000001,19.047619,10.526316,18.181818,14.285715,15.000001,19.047619,25,25,21.052631,15.000001,20,10,15.000001,23.809525,14.285715,14.285715,20
27.272728,10,10,10,10,14.285715,14.285715,14.285715,10,13.636364,13.636364,10,25,10,15.000001,10,14.285715,14.285715,14.285715,10,10,10,14.285715,10,13.636364,10,14.285715,15.000001,10,14.285715,14.285715,19.047619,14.285715,10,27.272728,14.285715,14.285715,14.285715,10,28.57143,10,10,9.523809,14.285715,10,10,14.285715,14.285715,10,23.809525,18.181818,14.285715,10,15.000001,23.809525,14.285715,10,14.285715,14.285715,14.285715,13.636364,15.000001,10,14.285715,20,14.285715,14.285715,14.285715,10,10,10,20,5.263158,9.523809,10,14.285715,40,14.285715,14.285715,10,14.285715,10,10,10,10,15.000001,20,19.047619,10,15.000001,10,14.285715,42.105263,10,10,10.526316
