cpu0,cpu1,cpu2,cpu3,cpu4,cpu5,cpu6,cpu7,cpu8,cpu9,cpu10,cpu11,cpu12,cpu13,cpu14,cpu15,cpu16,cpu17,cpu18,cpu19,cpu20,cpu21,cpu22,cpu23,cpu24,cpu25,cpu26,cpu27,cpu28,cpu29,cpu30,cpu31,cpu32,cpu33,cpu34,cpu35,cpu36,cpu37,cpu38,cpu39,cpu40,cpu41,cpu42,cpu43,cpu44,cpu45,cpu46,cpu47,cpu48,cpu49,cpu50,cpu51,cpu52,cpu53,cpu54,cpu55,cpu56,cpu57,cpu58,cpu59,cpu60,cpu61,cpu62,cpu63,cpu64,cpu65,cpu66,cpu67,cpu68,cpu69,cpu70,cpu71,cpu72,cpu73,cpu74,cpu75,cpu76,cpu77,cpu78,cpu79,cpu80,cpu81,cpu82,cpu83,cpu84,cpu85,cpu86,cpu87,cpu88,cpu89,cpu90,cpu91,cpu92,cpu93,cpu94,cpu95
1.4040562,0.78125,0.625,0.78125,1.0903426,0.6259781,0.93896717,1.0954616,0.625,0.624025,0.7800312,1.2461059,0.78125,0.7800312,0.93457943,0.9360374,0.78125,0.625,1.0954616,0.78125,1.0920438,0.93457943,1.0920438,0.7800312,0.93457943,0.7800312,0.93457943,1.40625,0.78125,0.7800312,0.93750006,0.7800312,1.2519562,0.93457943,1.40625,0.7800312,98.75195,0.625,0.9360374,1.0954616,0.9360374,0.9404388,0.625,0.78125,0.7824726,0.93750006,0.7788162,0.624025,0.625,0.93896717,1.0903426,0.7800312,0.9360374,0.7800312,1.25,0.625,1.4040562,0.7800312,0.93750006,0.93457943,0.9360374,0.7800312,0.7800312,0.9360374,0.93457943,0.9360374,1.25,0.7800312,0.7800312,1.09375,1.0903426,0.7800312,0.625,0.78125,0.7800312,0.625,1.5600624,0.7800312,0.625,0.93457943,1.25,1.09375,0.93457943,1.0920438,0.78125,0.6259781,1.0920438,0.7800312,0.7800312,0.7800312,0.9360374,0.46875003,0.78125,0.78125,0.9360374,0.9360374
31.578945,25,30.000002,33.333336,40,25,40.909092,50,25,26.31579,26.31579,40,25,25,25,30.000002,26.31579,25,45.454548,30.000002,26.31579,25,45.454548,21.052631,30.000002,26.31579,26.31579,70,30.000002,25,50,25,50,30.000002,57.894737,25,35,30.000002,31.578945,52.173912,30.000002,52.173912,30.000002,33.333336,47.826088,40,25,25,28.57143,45.454548,30.000002,26.31579,26.31579,26.31579,55,28.57143,50,26.31579,38.095238,26.31579,21.052631,25,25,30.000002,26.31579,31.578945,55,25,25,40,35,26.31579,30.000002,31.578945,26.31579,25,60.000004,26.31579,30.000002,25,38.095238,40,30.000002,42.857143,42.857143,33.333336,38.095238,28.57143,26.31579,26.31579,31.578945,25,28.57143,30.000002,30.000002,30.000002
38.095238,35,52.380955,35,31.578945,31.578945,20,52.63158,47.368423,27.777779,33.333336,45,36.842106,35,45,42.105263,30.000002,31.578945,0,35,31.578945,38.095238,36.842106,35,35,30.000002,23.809525,71.42857,35,31.578945,42.105263,35,57.14286,31.578945,57.14286,40,40.909092,30.000002,38.095238,55,42.105263,55,30.000002,30.000002,40,42.105263,36.842106,35,31.578945,50,33.333336,30.000002,38.095238,30.000002,60.000004,35,45,30.000002,36.842106,31.578945,35,35,42.857143,33.333336,30.000002,35,57.894737,30.000002,35,57.14286,31.578945,33.333336,47.61905,31.578945,30.000002,31.578945,66.66667,38.095238,30.000002,27.777779,42.105263,45,35,40,33.333336,30.000002,42.105263,31.578945,33.333336,28.57143,35,33.333336,31.578945,31.578945,30.000002,35
35,38.095238,52.380955,38.095238,30.000002,35,33.333336,52.380955,52.63158,42.857143,45,40,36.363636,33.333336,47.61905,45,35,36.363636,35,42.857143,33.333336,47.368423,33.333336,33.333336,33.333336,25,40,70,30.000002,30.000002,33.333336,30.000002,55,33.333336,35,47.61905,42.857143,42.857143,35,55,50,50,33.333336,33.333336,35,42.857143,42.857143,33.333336,36.363636,47.61905,38.095238,38.095238,31.578945,36.363636,52.63158,33.333336,30.000002,38.095238,42.857143,35,38.095238,30.000002,45,36.842106,35,45.454548,47.61905,35,31.578945,47.61905,38.095238,35,38.095238,42.857143,33.333336,33.333336,63.15789,31.578945,36.363636,33.333336,52.380955,33.333336,30.000002,35,40.909092,35,33.333336,35,30.000002,42.105263,30.000002,33.333336,42.857143,36.363636,31.578945,35
38.095238,30.000002,57.14286,31.578945,30.000002,30.000002,30.000002,52.380955,66.66667,30.000002,35,36.842106,35,30.000002,40,40,26.31579,30.000002,30.000002,30.000002,42.857143,42.857143,26.31579,30.000002,30.000002,31.818182,38.095238,66.66667,28.57143,28.57143,21.052631,30.000002,57.14286,30.000002,30.000002,47.61905,31.578945,30.000002,31.578945,54.545456,30.000002,52.173912,30.000002,26.31579,30.000002,40,35,30.000002,28.57143,40,30.000002,30.000002,25,30.000002,60.000004,30.000002,28.57143,25,31.578945,30.000002,33.333336,26.31579,30.000002,30.000002,26.31579,35,40,30.000002,30.000002,52.380955,30.000002,30.000002,30.000002,30.000002,30.000002,30.000002,61.904762,33.333336,26.31579,30.000002,47.61905,35,33.333336,28.57143,31.578945,31.578945,35,28.57143,30.000002,65,30.000002,30.000002,38.095238,35,33.333336,28.57143
42.857143,40.909092,61.904762,40,36.842106,40.909092,35,60.000004,65,36.842106,42.857143,52.380955,45,40,55,54.545456,42.857143,40,40,42.857143,45,57.14286,50,38.095238,42.857143,40,40,70,40,40,45.454548,42.105263,66.66667,42.857143,42.857143,52.63158,47.61905,38.095238,45.454548,60.000004,42.857143,47.368423,35,36.842106,40,45,47.61905,38.095238,40,57.14286,45,38.095238,40,38.095238,63.636364,40.909092,42.857143,36.842106,45,40,40,40.909092,36.842106,42.857143,40,52.63158,52.380955,42.857143,45.454548,55,45,42.857143,40,45,45.454548,40,71.42857,36.842106,33.333336,28.57143,61.904762,40,38.095238,36.842106,35,45.454548,42.857143,42.857143,45.454548,72.72727,38.095238,38.095238,40,42.857143,42.857143,36.842106
40,36.842106,57.14286,35,33.333336,31.578945,35,55,60.000004,36.363636,31.578945,45,35,35,47.61905,42.105263,31.578945,31.578945,31.578945,40,35,55,45,31.578945,40,35,40,75,31.578945,33.333336,36.842106,45,55,36.842106,38.095238,50,40,35,36.842106,55.555557,35,38.095238,31.578945,35,42.857143,31.578945,40,31.578945,35,47.368423,38.095238,27.777779,47.368423,35,61.11111,27.777779,31.578945,31.578945,36.842106,40,33.333336,35,38.095238,36.842106,35,54.545456,47.368423,35,31.578945,52.63158,35,35,40,40,31.578945,38.095238,63.15789,40,31.578945,31.578945,25,30.000002,35,31.578945,31.578945,42.105263,33.333336,36.842106,42.105263,66.66667,40,31.578945,35,35,35,35
36.842106,35,60.000004,40,36.842106,36.842106,35,52.63158,66.66667,31.578945,15.000001,47.368423,36.842106,38.095238,45,47.368423,35,35,38.095238,42.105263,35,50,45,40,36.842106,36.842106,45,73.68421,35,36.842106,47.368423,36.842106,57.894737,35,36.842106,52.63158,42.857143,36.842106,35,57.14286,33.333336,40,40,38.095238,36.842106,30.000002,42.105263,38.095238,35,54.545456,42.105263,38.095238,40,36.842106,63.15789,36.842106,47.368423,31.578945,40,42.857143,31.578945,36.842106,36.842106,40,40,52.63158,52.380955,36.842106,38.095238,57.14286,42.857143,40,42.857143,42.857143,40,35,71.42857,42.857143,31.578945,31.578945,40,36.842106,40,38.095238,38.095238,42.857143,42.857143,35,50,72.22222,38.095238,36.842106,31.578945,36.842106,36.842106,40
39.130436,26.31579,45,26.31579,42.105263,30.000002,26.31579,30.000002,55,21.052631,21.052631,36.363636,28.57143,31.578945,40,35,30.000002,30.000002,26.31579,40,30.000002,42.105263,33.333336,30.000002,30.000002,26.31579,30.000002,52.941177,25,31.578945,38.095238,38.095238,52.63158,30.000002,35,45,31.578945,28.57143,26.31579,55,33.333336,30.000002,20,26.31579,30.000002,26.31579,33.333336,26.31579,26.31579,40,26.31579,30.000002,22.222223,30.000002,50,25,25,31.818182,38.095238,26.31579,31.818182,33.333336,30.000002,30.000002,55,31.578945,42.105263,30.000002,26.31579,50,26.31579,31.578945,30.000002,26.31579,21.052631,26.31579,60.000004,31.578945,30.000002,40,30.000002,45.454548,25,26.31579,20,27.777779,30.000002,30.000002,28.57143,47.368423,26.31579,30.000002,36.842106,30.000002,28.57143,25
35,30.000002,36.842106,35,44.444447,31.578945,35,35,50,31.578945,36.842106,36.842106,40,36.842106,29.411766,42.105263,35,36.842106,40,31.578945,33.333336,40,36.842106,38.095238,31.578945,35,27.777779,47.368423,36.842106,60.000004,27.777779,41.17647,45,27.777779,36.842106,38.88889,31.578945,29.411766,30.000002,58.823532,31.578945,26.31579,55.555557,31.578945,35,35,36.842106,31.578945,26.31579,38.88889,30.000002,35,40,31.578945,52.380955,35,36.842106,27.777779,35,31.578945,26.31579,36.842106,35,36.842106,52.63158,35,42.105263,40,31.578945,38.88889,31.578945,52.63158,33.333336,40,22.222223,22.222223,60.000004,35,35,40,27.777779,47.368423,35,31.578945,30.000002,36.842106,26.31579,33.333336,27.777779,31.578945,30.000002,30.000002,40,31.578945,33.333336,36.842106
