cpu0,cpu1,cpu2,cpu3,cpu4,cpu5,cpu6,cpu7,cpu8,cpu9,cpu10,cpu11,cpu12,cpu13,cpu14,cpu15,cpu16,cpu17,cpu18,cpu19,cpu20,cpu21,cpu22,cpu23,cpu24,cpu25,cpu26,cpu27,cpu28,cpu29,cpu30,cpu31,cpu32,cpu33,cpu34,cpu35,cpu36,cpu37,cpu38,cpu39,cpu40,cpu41,cpu42,cpu43,cpu44,cpu45,cpu46,cpu47,cpu48,cpu49,cpu50,cpu51,cpu52,cpu53,cpu54,cpu55,cpu56,cpu57,cpu58,cpu59,cpu60,cpu61,cpu62,cpu63,cpu64,cpu65,cpu66,cpu67,cpu68,cpu69,cpu70,cpu71,cpu72,cpu73,cpu74,cpu75,cpu76,cpu77,cpu78,cpu79,cpu80,cpu81,cpu82,cpu83,cpu84,cpu85,cpu86,cpu87,cpu88,cpu89,cpu90,cpu91,cpu92,cpu93,cpu94,cpu95
72.5429,0.3134796,0.624025,0.46875003,0.46875003,0.3125,0.3125,0.3120125,0.31298906,0.3125,0.3120125,0.3125,0.624025,0.46875003,0.4680187,0.46875003,0.46875003,0.3125,0.46875003,0,0.31298906,0.3120125,0.15625,0.15649453,0.3125,0.46875003,0.3125,0,0.4680187,0.31298906,0.3125,0.15625,0.46875003,0.15649453,0.3125,0,0.3125,0.4680187,0.4680187,0,0.46875003,0.625,0.3125,0,0.3125,0.15625,0.3125,0.3125,27.656252,0.3120125,0.3120125,0,0.31298906,0.3125,0.3125,0,0.46875003,0.15625,0.3125,0.3120125,0.31298906,0.3125,0.3120125,0.3125,0.46875003,0.3125,0.3125,0.3125,0.46875003,0.15600625,0.15625,0.3120125,0.3125,0.3125,0.3125,0.3125,0.4680187,0.46875003,0.4680187,0.3120125,0.46875003,0.31298906,0.3125,0.3125,0.31298906,0.15625,0.3125,0.3125,0.624025,0.3120125,0.4680187,0.31298906,0.46948358,0.15649453,0.3125,0.15600625
25,25,40,15.000001,42.857143,15.789473,25,40,35,15.789473,25,20,44.444447,33.333336,25,47.368423,20,15.789473,15.789473,20,20,20,20,40,15.000001,21.052631,15.789473,20,30.000002,35,15.000001,22.727274,20,20,5.263158,15.789473,33.333336,15.789473,20,20,20,21.052631,11.111112,15.000001,25,15.789473,30.000002,20,20,15.000001,21.052631,20,15.789473,15.789473,20,25,20,20,40,20,20,25,25,19.047619,15.000001,11.111112,20,20,35,25,20,20,20,20,23.809525,25,23.809525,20,30.000002,47.61905,23.809525,31.578945,21.052631,35,26.31579,15.789473,15.000001,20,15.789473,20,25,30.000002,45,23.809525,25,20
26.31579,38.095238,45,30.000002,47.368423,25,38.095238,45.454548,35,28.57143,33.333336,30.000002,42.857143,35,42.857143,54.545456,28.57143,23.809525,31.818182,33.333336,31.818182,28.57143,30.000002,30.000002,25,28.57143,33.333336,30.000002,47.61905,47.61905,28.57143,30.000002,28.57143,28.57143,28.57143,30.000002,33.333336,25,35,33.333336,68.42105,35,27.272728,26.31579,31.578945,33.333336,35,33.333336,25,30.000002,31.818182,30.000002,31.818182,25,34.782608,33.333336,30.000002,30.000002,47.61905,28.57143,25,33.333336,30.000002,22.222223,25,25,31.818182,23.809525,42.857143,35,30.000002,28.57143,21.052631,25,26.31579,33.333336,21.052631,25,35,45,30.000002,42.857143,33.333336,45,45.454548,25,28.57143,30.000002,28.57143,33.333336,21.052631,25,52.380955,28.57143,38.095238,28.57143
26.31579,35,42.857143,52.380955,47.61905,25,30.000002,42.105263,25,28.57143,35,25,36.842106,33.333336,35,42.105263,30.000002,22.222223,20,25,28.57143,35,30.000002,38.095238,38.88889,26.31579,28.57143,25,50,25,25,25,25,21.052631,23.809525,25,25,25,30.000002,25,60.000004,28.57143,21.052631,25,33.333336,25,35,25,28.57143,25,21.052631,30.000002,30.000002,25,26.31579,30.000002,35,33.333336,45,25,25,30.000002,25,28.57143,30.000002,23.809525,25,21.052631,31.578945,31.578945,28.57143,21.052631,28.57143,25,25,25,28.57143,21.052631,35,25,35,26.31579,30.000002,33.333336,30.000002,28.57143,25,45,21.052631,30.000002,25,21.052631,25,21.052631,31.578945,25
30.000002,38.095238,47.61905,52.380955,50,25,28.57143,40,28.57143,28.57143,36.842106,25,36.842106,33.333336,35,36.363636,28.57143,25,30.000002,28.57143,26.31579,30.000002,33.333336,42.857143,54.545456,28.57143,28.57143,21.052631,52.380955,25,25,28.57143,30.000002,20,25,28.57143,33.333336,28.57143,33.333336,38.095238,28.57143,30.000002,25,25,33.333336,28.57143,35,25,26.31579,28.57143,30.000002,25,40,19.047619,28.57143,25,42.857143,36.363636,45.454548,26.31579,33.333336,26.31579,30.000002,25,30.000002,26.31579,25,28.57143,28.57143,33.333336,26.31579,28.57143,30.000002,26.31579,25,33.333336,26.31579,28.57143,36.842106,23.809525,47.61905,28.57143,26.31579,35,35,30.000002,28.57143,36.842106,45,28.57143,25,28.57143,28.57143,30.000002,36.363636,25
47.61905,33.333336,50,50,47.368423,28.57143,25,47.368423,25,26.31579,31.578945,26.31579,25,28.57143,40,35,25,25,21.052631,30.000002,25,25,31.578945,45,52.63158,22.222223,30.000002,31.818182,45,26.31579,25,26.31579,25,26.31579,26.31579,30.000002,26.31579,26.31579,30.000002,57.14286,26.31579,38.095238,26.31579,28.57143,35,35,38.095238,26.31579,30.000002,25,33.333336,25,36.842106,26.31579,28.57143,27.777779,35,31.578945,44.444447,25,33.333336,31.818182,35,25,28.57143,31.578945,28.57143,30.000002,26.31579,31.578945,25,26.31579,22.222223,25,28.57143,26.31579,25,31.578945,33.333336,30.000002,30.000002,21.052631,33.333336,36.842106,36.842106,36.842106,15.789473,25,47.368423,26.31579,28.57143,25,22.222223,30.000002,31.578945,28.57143
40,36.363636,42.857143,54.545456,47.61905,25,25,35,40,25,25,28.57143,28.57143,26.31579,35,31.578945,30.000002,25,30.000002,28.57143,25,28.57143,28.57143,36.842106,54.545456,28.57143,26.31579,28.57143,40,28.57143,21.052631,25,30.000002,25,20,27.272728,20,28.57143,30.000002,59.090908,30.000002,35,28.57143,25,33.333336,28.57143,35,28.57143,31.818182,25,26.31579,21.052631,28.57143,20,28.57143,31.818182,25,26.31579,45,25,25,33.333336,28.57143,21.052631,25,28.57143,25,25,28.57143,30.000002,31.818182,23.809525,28.57143,28.57143,28.57143,28.57143,28.57143,38.095238,28.57143,25,28.57143,28.57143,30.000002,35,47.61905,40,28.57143,25,28.57143,25,25,25,23.809525,28.57143,30.000002,21.052631
30.000002,35,45,57.14286,52.380955,28.57143,25,45,26.31579,26.31579,30.000002,28.57143,25,23.809525,35,33.333336,23.809525,25,31.818182,28.57143,40.909092,26.31579,35,42.105263,35,25,25,25,47.61905,25,28.57143,25,28.57143,26.31579,30.000002,26.31579,28.57143,28.57143,33.333336,57.894737,25,20,30.000002,30.000002,38.095238,36.842106,30.000002,21.052631,26.31579,28.57143,28.57143,20,33.333336,30.000002,26.31579,28.57143,40,33.333336,42.857143,25,47.61905,5.263158,31.818182,28.57143,38.095238,25,25,28.57143,25,36.363636,25,26.31579,33.333336,26.31579,25,33.333336,30.000002,40,30.000002,25,35,35,30.000002,36.842106,35,42.105263,47.61905,20,25,28.57143,26.31579,28.57143,25,28.57143,38.095238,21.052631
26.31579,35,44.444447,57.14286,45,25,28.57143,45,28.57143,30.000002,30.000002,30.000002,26.31579,25,40.909092,28.57143,30.000002,25,26.31579,30.000002,47.61905,28.57143,35,40,30.000002,33.333336,25,25,40,25,25,30.000002,25,20,25,28.57143,26.31579,21.052631,28.57143,55,25,28.57143,28.57143,25,30.000002,40.909092,25,28.57143,14.285715,25,25,28.57143,25,31.818182,28.57143,30.000002,35,30.000002,45,25,42.105263,25,26.31579,25,30.000002,21.052631,25,25,42.857143,30.000002,30.000002,28.57143,28.57143,25,28.57143,25,25,38.88889,31.578945,25,25,30.000002,28.57143,38.095238,25,38.095238,47.368423,28.57143,30.000002,26.31579,28.57143,25,36.363636,26.31579,38.095238,38.095238
26.31579,35,47.61905,50,47.368423,26.31579,31.578945,42.105263,30.000002,25,25,25,36.363636,26.31579,40,25,25,25,26.31579,30.000002,21.052631,25,31.578945,38.88889,31.578945,28.57143,26.31579,30.000002,40,28.57143,30.000002,26.31579,26.31579,28.57143,30.000002,26.31579,28.57143,25,27.777779,55,28.57143,26.31579,30.000002,28.57143,25,40,25,28.57143,28.57143,28.57143,25,25,30.000002,30.000002,25,25,30.000002,28.57143,45,25,44.444447,30.000002,30.000002,25,25,30.000002,28.57143,30.000002,26.31579,35,28.57143,25,36.842106,33.333336,26.31579,25,28.57143,42.857143,38.095238,30.000002,26.31579,33.333336,21.052631,40,28.57143,42.105263,42.105263,30.000002,40,30.000002,26.31579,30.000002,31.578945,33.333336,33.333336,40
