cpu0,cpu1,cpu2,cpu3,cpu4,cpu5,cpu6,cpu7,cpu8,cpu9,cpu10,cpu11,cpu12,cpu13,cpu14,cpu15,cpu16,cpu17,cpu18,cpu19,cpu20,cpu21,cpu22,cpu23,cpu24,cpu25,cpu26,cpu27,cpu28,cpu29,cpu30,cpu31,cpu32,cpu33,cpu34,cpu35,cpu36,cpu37,cpu38,cpu39,cpu40,cpu41,cpu42,cpu43,cpu44,cpu45,cpu46,cpu47,cpu48,cpu49,cpu50,cpu51,cpu52,cpu53,cpu54,cpu55,cpu56,cpu57,cpu58,cpu59,cpu60,cpu61,cpu62,cpu63,cpu64,cpu65,cpu66,cpu67,cpu68,cpu69,cpu70,cpu71,cpu72,cpu73,cpu74,cpu75,cpu76,cpu77,cpu78,cpu79,cpu80,cpu81,cpu82,cpu83,cpu84,cpu85,cpu86,cpu87,cpu88,cpu89,cpu90,cpu91,cpu92,cpu93,cpu94,cpu95
1.5600624,0,1.09375,1.24805,1.09375,0.93896717,1.09375,1.24805,0.93896717,0.7800312,1.0920438,1.24805,1.09375,0.93750006,1.09375,1.24805,0.93896717,1.09375,1.0920438,1.09375,1.09375,0.7824726,1.24805,0.93750006,1.09375,0.93750006,0.93750006,1.401869,1.5576324,0.7800312,1.0920438,0.9360374,1.09375,3.59375,1.0920438,1.24805,1.09375,0.9360374,1.24805,1.09375,1.24805,1.09375,1.0920438,1.24805,1.25,1.24805,0.93896717,1.09375,1.24805,0.93750006,0.9360374,1.0954616,1.25,1.09375,1.0920438,1.09375,1.09375,0,1.0920438,1.09375,1.401869,0.15600625,1.09375,1.0920438,1.24805,1.0920438,1.25,1.24805,1.0954616,1.09375,1.09375,1.24805,1.25,0.7824726,0.93750006,0.15600625,99.6875,0.78125,1.0920438,1.0920438,1.09375,0.93750006,1.09375,1.09375,1.401869,0.9360374,1.09375,1.09375,0.7824726,1.0920438,0.93750006,1.4040562,1.25,1.09375,1.09375,1.09375
63.15789,65,57.894737,55.555557,63.15789,61.904762,60.000004,57.894737,65,65,57.894737,60.000004,68.42105,65,57.894737,57.894737,65,60.000004,68.42105,60.000004,57.894737,55.555557,66.66667,60.000004,60.000004,61.904762,65,63.15789,63.15789,55.555557,70,63.15789,52.63158,55,63.15789,65,52.63158,65,47.368423,60.000004,63.15789,68.42105,65,66.66667,78.94737,57.894737,70,65,63.15789,73.68421,65,66.66667,52.63158,63.15789,66.66667,63.15789,65,65,57.894737,65,60.000004,68.42105,63.15789,63.15789,60.000004,65,68.42105,63.15789,66.66667,65,60.000004,60.000004,55,65,63.15789,60.000004,68.42105,75,63.15789,70,68.42105,50,57.894737,65,57.894737,68.42105,57.894737,50,63.15789,60.000004,57.894737,57.894737,63.15789,55,57.894737,65
52.63158,63.15789,52.63158,66.66667,55,52.63158,57.14286,57.894737,55,52.63158,70,63.15789,75,71.42857,60.000004,60.000004,57.894737,60.000004,83.33333,55,55,61.904762,57.14286,65,60.000004,63.15789,55,70,65,60.000004,84.210526,61.904762,63.15789,55,55,57.894737,68.42105,60.000004,66.66667,50,60.000004,75,55,60.000004,80.952385,68.42105,80,57.14286,45,66.66667,68.42105,75,61.904762,57.14286,61.904762,61.904762,52.63158,65,76.190475,89.47369,63.15789,66.66667,66.66667,60.000004,52.63158,52.63158,60.000004,52.380955,57.894737,55,55,76.190475,50,60.000004,55,65,65,66.66667,65,77.27273,65,57.894737,50,68.42105,78.94737,60.000004,45,52.63158,68.42105,65,65,66.66667,57.894737,52.63158,65,60.000004
66.66667,66.66667,65,65,57.894737,55.555557,60.000004,66.66667,68.42105,65,66.66667,70,60.000004,66.66667,75,55,61.904762,68.42105,80.952385,55,65,68.42105,68.42105,60.000004,73.68421,65,61.904762,68.42105,65,70,70,65,65,55,66.66667,63.15789,65,65,65,71.42857,60.000004,70,55,71.42857,55,65,63.636364,57.894737,63.15789,68.42105,65,76.190475,66.66667,52.63158,55,70,64.70589,65,68.42105,80.952385,65,68.42105,68.42105,55,60.000004,55.555557,65,57.894737,63.15789,73.68421,64.70589,78.94737,65,52.63158,65,70,65,65,55,73.68421,63.15789,61.904762,65,60.000004,70,63.15789,66.66667,76.190475,57.14286,57.894737,60.000004,68.42105,57.14286,57.14286,65,65
57.14286,57.14286,61.904762,60.000004,63.636364,55,60.000004,60.000004,55,61.904762,68.181816,63.636364,65,57.894737,57.14286,60.000004,52.63158,57.894737,68.181816,69.565216,55.555557,71.42857,57.894737,60.000004,65,60.869564,50,76.190475,63.15789,52.380955,71.42857,61.904762,50,52.380955,65,52.63158,65,65,68.42105,55,55,68.42105,55,50,65,61.904762,70,52.380955,52.380955,52.380955,60.000004,65,45,47.368423,63.636364,55,56.521736,55,66.66667,76.190475,66.66667,60.000004,61.904762,60.000004,60.000004,60.000004,55,66.66667,63.636364,69.565216,66.66667,66.66667,65,55,52.380955,70,52.380955,50,44.444447,63.636364,65,61.904762,65,52.380955,76.190475,61.904762,65,70,47.61905,59.090908,50,52.380955,60.000004,45,60.000004,59.090908
68.42105,57.14286,73.68421,57.14286,58.823532,52.380955,61.904762,68.42105,55,52.380955,55,55,50,57.14286,57.14286,60.000004,60.000004,65,75,55,65,70,61.904762,60.000004,68.42105,52.941177,66.66667,61.904762,70,60.000004,72.22222,57.894737,66.66667,60.000004,65,50,55,60.000004,70,57.14286,47.368423,65,57.14286,68.42105,55,68.42105,57.14286,52.63158,63.15789,55,70,57.14286,60.000004,60.000004,55.555557,66.66667,65,63.636364,70,60.000004,55,57.894737,52.380955,52.63158,57.894737,57.894737,60.000004,57.894737,55.555557,45,57.894737,75,60.000004,57.14286,68.42105,55,57.14286,50,71.42857,45,75,63.15789,68.42105,55,66.66667,73.68421,65,55,65,73.68421,55,73.68421,60.000004,55,60.000004,50
57.894737,65,71.42857,52.63158,65,63.15789,55,57.14286,55,45,60.000004,57.14286,70,50,52.63158,50,65,55,66.66667,52.380955,59.090908,72.22222,55,65,52.380955,52.380955,63.15789,57.894737,52.63158,52.380955,71.42857,70,66.66667,57.894737,63.15789,55,65,47.61905,57.14286,61.11111,71.42857,65,65,71.42857,57.14286,50,55,52.63158,57.14286,52.63158,55,52.63158,57.894737,63.636364,52.380955,61.904762,65,55,72.72727,63.15789,61.11111,52.380955,45,45,68.181816,61.904762,47.61905,61.904762,59.090908,60.000004,69.565216,75,55,50,59.090908,57.14286,61.11111,52.380955,57.894737,63.15789,71.42857,61.904762,50,55,60.000004,68.181816,50,52.380955,59.090908,71.42857,60.000004,76.190475,68.181816,61.904762,66.66667,55
71.42857,61.904762,71.42857,66.66667,52.63158,61.904762,63.636364,54.545456,59.090908,70,65,61.904762,70,60.000004,68.181816,52.63158,66.66667,76.190475,85.71429,55,60.000004,52.380955,61.904762,66.66667,61.904762,60.000004,65,66.66667,66.66667,57.14286,75,65,66.66667,61.904762,57.14286,60.000004,80.952385,61.904762,70,71.42857,71.42857,84.210526,57.14286,71.42857,71.42857,71.42857,60.000004,66.66667,73.68421,57.894737,70,61.904762,57.14286,65,61.904762,71.42857,60.000004,70,75,52.380955,52.380955,66.66667,75,54.545456,65,70,65,50,61.904762,57.14286,75,76.190475,47.61905,60.000004,80.952385,75,61.904762,60.000004,65,61.904762,65,70,65,71.42857,71.42857,65,71.42857,70,76.190475,76.190475,52.380955,77.27273,80,80,71.42857,65
72.22222,70,63.15789,75,65,60.000004,63.15789,70,57.14286,71.42857,70,65,75,61.904762,73.68421,61.904762,61.904762,65,76.190475,61.904762,55,66.66667,75,68.42105,76.190475,65,70,70,70,72.72727,76.190475,70,61.904762,60.000004,55,60.000004,70,60.000004,61.904762,65,68.42105,85.71429,63.15789,60.000004,68.42105,63.15789,65,63.15789,71.42857,65,63.15789,75,61.904762,60.000004,65,61.904762,60.000004,63.15789,63.15789,70,60.000004,70,75,60.000004,68.42105,52.380955,65,66.66667,65,65,60.000004,78.94737,68.42105,65,78.94737,80.952385,70,60.000004,61.904762,75,61.904762,60.000004,52.380955,60.000004,73.68421,50,57.14286,66.66667,71.42857,68.42105,61.904762,78.94737,68.42105,66.66667,65,78.94737
66.66667,73.68421,68.181816,76.190475,71.42857,68.42105,76.190475,60.000004,75,76.190475,75,65,70,70,66.66667,63.15789,70,71.42857,78.94737,78.94737,70,57.894737,80,57.894737,85,60.000004,75,80,80.952385,84.210526,70,63.15789,57.14286,78.94737,57.14286,65,70,80,57.894737,61.904762,75,85,60.000004,73.68421,65,70,65,65,65,72.72727,65,65,65,60.000004,75,63.15789,70,76.190475,71.42857,71.42857,63.15789,60.000004,76.190475,63.15789,61.904762,55,65,78.94737,70,65,57.14286,80.952385,65,60.000004,90,75,75,75,63.15789,66.66667,63.15789,75,63.15789,72.72727,75,61.904762,71.42857,63.15789,80,66.66667,70,80.952385,76.190475,75,75,78.94737
