cpu0,cpu1,cpu2,cpu3,cpu4,cpu5,cpu6,cpu7,cpu8,cpu9,cpu10,cpu11,cpu12,cpu13,cpu14,cpu15,cpu16,cpu17,cpu18,cpu19,cpu20,cpu21,cpu22,cpu23,cpu24,cpu25,cpu26,cpu27,cpu28,cpu29,cpu30,cpu31,cpu32,cpu33,cpu34,cpu35,cpu36,cpu37,cpu38,cpu39,cpu40,cpu41,cpu42,cpu43,cpu44,cpu45,cpu46,cpu47,cpu48,cpu49,cpu50,cpu51,cpu52,cpu53,cpu54,cpu55,cpu56,cpu57,cpu58,cpu59,cpu60,cpu61,cpu62,cpu63,cpu64,cpu65,cpu66,cpu67,cpu68,cpu69,cpu70,cpu71,cpu72,cpu73,cpu74,cpu75,cpu76,cpu77,cpu78,cpu79,cpu80,cpu81,cpu82,cpu83,cpu84,cpu85,cpu86,cpu87,cpu88,cpu89,cpu90,cpu91,cpu92,cpu93,cpu94,cpu95
1.6129031,0.29411766,0.4411765,0,97.64706,0.29368576,0.5882353,0,1.1730205,0.44052863,0.44182622,0,0.88105726,0.1472754,0.4411765,0,0.73421437,0.14705883,0.5873715,0,0.7352941,0.29368576,0.73421437,0,0.5882353,0.29368576,0.5882353,0,0.7352941,0.29368576,0.7352941,0,0.88105726,0.5882353,0.2945508,0,0.5882353,0.1472754,0.4411765,0,1.0279002,0.58651024,0.73421437,0,0.73421437,0.14705883,0.5873715,0,0.44247788,0.29368576,0.5882353,0,0.8797654,0.44052863,0.5882353,0,0.73421437,0.14705883,0.4411765,0,0.7352941,0.4398827,0.5882353,0,0.88105726,0.44052863,0.5882353,0,0.5882353,0.1472754,0.4411765,0,1.6200294,0.29411766,0.44052863,0,0.73421437,0.29411766,0.4411765,0,0.88105726,0.4398827,0.2945508,0,0.7352941,0.73421437,0.44052863,0,0.88105726,0.4398827,0.44182622,0,0.7352941,0.29411766,0.44052863,0
15.000001,20,30.000002,5,15.000001,10.526316,15.000001,20,42.857143,15.000001,15.000001,10.526316,35,15.000001,10.526316,20,20,20,23.809525,20,40,11.111112,25,5,25,21.052631,35,10,10.526316,10.526316,26.31579,10.526316,10.526316,10.526316,15.000001,14.285715,33.333336,15.000001,20,5.263158,42.105263,11.111112,15.000001,10,10.526316,19.047619,21.052631,10.526316,10.526316,15.000001,28.57143,10,35,15.000001,15.000001,19.047619,28.57143,10.526316,15.000001,5,25,15.789473,15.000001,5.263158,10.526316,21.052631,11.111112,10,15.000001,20,23.809525,9.523809,15.000001,25,21.052631,10.526316,16.666668,15.000001,15.789473,10,19.047619,35,15.789473,10,19.047619,23.809525,20,9.523809,15.000001,25,15.000001,9.523809,10.526316,15.000001,15.789473,5
25,10.526316,35,15.789473,15.789473,20,20,35,35,15.000001,15.000001,15.000001,65,15.000001,10.526316,45,15.000001,19.047619,25,30.000002,25,15.000001,33.333336,15.000001,35,20,28.57143,10.526316,20,15.789473,28.57143,15.789473,15.000001,15.789473,19.047619,15.789473,33.333336,15.000001,20,15.789473,11.111112,15.000001,15.789473,15.789473,15.789473,11.111112,11.111112,15.000001,15.000001,15.789473,25,15.789473,31.578945,15.789473,15.789473,21.052631,27.777779,20,15.789473,15.789473,19.047619,15.789473,15.000001,15.000001,19.047619,22.222223,19.047619,15.000001,15.789473,10.526316,19.047619,15.789473,15.789473,28.57143,20,20,20,15.000001,20,21.052631,16.666668,40,15.000001,15.000001,20,21.052631,15.789473,15.789473,10.526316,15.789473,19.047619,20,19.047619,20,20,20
15.789473,20,30.000002,15.000001,23.809525,21.052631,10.526316,26.31579,35,15.789473,20,20,19.047619,19.047619,23.809525,38.095238,15.789473,15.789473,20,26.31579,26.31579,19.047619,21.052631,15.000001,33.333336,20,25,23.809525,30.000002,19.047619,28.57143,15.000001,20,15.000001,15.789473,15.000001,36.363636,20,20,23.809525,15.000001,15.789473,15.789473,19.047619,15.000001,19.047619,23.809525,15.789473,15.789473,19.047619,28.57143,15.000001,33.333336,15.000001,15.000001,25,28.57143,15.000001,10.526316,22.727274,68.42105,20,20,20,19.047619,28.57143,20,20,20,20,20,15.000001,23.809525,25,21.052631,25,19.047619,23.809525,15.789473,23.809525,23.809525,35,19.047619,19.047619,15.000001,20,20,15.000001,22.727274,15.000001,15.000001,20,19.047619,23.809525,25,10.526316
20,15.000001,30.000002,20,20,20,23.809525,31.578945,35,15.000001,15.000001,19.047619,20,15.789473,15.789473,38.88889,19.047619,23.809525,25,30.000002,30.000002,20,28.57143,15.000001,26.31579,20,20,27.272728,52.63158,15.000001,30.000002,19.047619,15.000001,19.047619,15.000001,19.047619,40,19.047619,20,20,19.047619,20,20,20,15.000001,20,20,15.000001,19.047619,11.111112,25,20,35,28.57143,20,25,28.57143,19.047619,15.000001,15.789473,35,19.047619,23.809525,20,20,30.000002,20,15.000001,27.272728,15.000001,15.000001,15.789473,15.789473,30.000002,21.052631,23.809525,20,21.052631,23.809525,25,20,36.842106,10.526316,10.526316,20,25,28.57143,15.789473,10.526316,15.000001,15.789473,20,15.789473,20,21.052631,20
20,20,35,19.047619,20,20,20,36.363636,38.095238,20,20,15.789473,20,19.047619,15.000001,47.61905,15.789473,20,21.052631,33.333336,28.57143,20,28.57143,20,35,20,15.789473,15.789473,23.809525,20,28.57143,20,15.789473,20,19.047619,20,36.842106,15.789473,20,20,15.789473,20,20,15.789473,15.789473,15.789473,20,20,20,20,30.000002,20,36.842106,30.000002,20,28.57143,30.000002,20,20,20,19.047619,20,20,19.047619,20,30.000002,19.047619,15.000001,16.666668,23.809525,15.789473,20,19.047619,28.57143,28.57143,25,31.578945,20,20,20,25,40,19.047619,20,20,25,23.809525,20,55,20,19.047619,19.047619,15.000001,15.789473,23.809525,20
16.666668,15.789473,30.000002,16.666668,15.789473,30.000002,20,26.31579,33.333336,15.789473,20,20,15.789473,15.789473,20,38.095238,20,15.789473,23.809525,31.578945,21.052631,20,22.222223,20,33.333336,15.000001,15.000001,15.789473,20,15.000001,26.31579,15.789473,23.809525,15.789473,20,16.666668,38.095238,20,25,20,15.000001,19.047619,20,15.789473,19.047619,20,21.052631,15.000001,15.789473,15.789473,25,11.111112,33.333336,26.31579,15.789473,26.31579,22.222223,15.000001,15.789473,15.789473,15.789473,15.789473,11.111112,20,15.789473,31.578945,15.789473,21.052631,15.789473,15.789473,15.000001,15.789473,21.052631,26.31579,21.052631,26.31579,16.666668,15.789473,20,16.666668,21.052631,35,11.111112,15.789473,15.789473,21.052631,21.052631,15.000001,59.090908,20,15.789473,15.789473,40,20,25,23.809525
23.809525,23.809525,35,19.047619,23.809525,25,23.809525,38.095238,40.909092,19.047619,23.809525,20,25,25,20,42.105263,27.272728,20,25,33.333336,36.363636,20,28.57143,23.809525,40,21.052631,15.789473,28.57143,20,21.052631,31.578945,22.727274,15.789473,20,23.809525,23.809525,45.454548,23.809525,25,25,25,25,23.809525,23.809525,20,23.809525,27.272728,20,23.809525,23.809525,26.31579,27.272728,42.857143,33.333336,25,25,36.363636,20,23.809525,25,23.809525,23.809525,27.272728,25,27.272728,33.333336,23.809525,19.047619,23.809525,23.809525,20,23.809525,23.809525,26.31579,25,28.57143,27.272728,25,25,25,15.000001,35,19.047619,19.047619,15.789473,28.57143,25,15.000001,21.052631,23.809525,20,25,73.68421,27.272728,25,23.809525
33.333336,26.31579,42.105263,30.000002,30.000002,28.57143,31.578945,42.105263,45,31.578945,28.57143,25,30.000002,35,35,57.14286,26.31579,25,30.000002,36.842106,35,25,36.842106,26.31579,40,30.000002,25,38.095238,35,25,40,26.31579,35,33.333336,30.000002,21.052631,47.368423,25,30.000002,25,25,28.57143,30.000002,35,25,25,31.578945,30.000002,21.052631,26.31579,36.842106,35,45,36.842106,30.000002,31.578945,29.411766,26.31579,25,33.333336,27.777779,35,31.578945,25,31.578945,35,31.578945,26.31579,21.052631,31.578945,26.31579,26.31579,21.052631,35,30.000002,31.578945,30.000002,30.000002,33.333336,26.31579,35,52.380955,30.000002,25,36.363636,33.333336,30.000002,30.000002,33.333336,30.000002,35,33.333336,71.42857,26.31579,26.31579,30.000002
26.31579,25,42.857143,26.31579,26.31579,27.777779,21.052631,40.909092,42.857143,33.333336,30.000002,28.57143,38.095238,30.000002,21.052631,50,28.57143,31.578945,38.095238,40,31.578945,30.000002,26.31579,30.000002,42.857143,36.363636,25,26.31579,35,25,35,30.000002,23.809525,26.31579,28.57143,38.095238,50,26.31579,26.31579,35,33.333336,27.777779,45,33.333336,30.000002,31.578945,26.31579,25,28.57143,28.57143,40,35,15.000001,30.000002,31.578945,40,33.333336,33.333336,30.000002,26.31579,33.333336,33.333336,30.000002,33.333336,35,42.105263,30.000002,30.000002,33.333336,35,25,28.57143,30.000002,35,36.842106,40,31.578945,30.000002,27.777779,35,35,44.444447,28.57143,25,35,27.777779,30.000002,28.57143,26.31579,21.052631,35,30.000002,70,35,35,26.31579
