cpu0,cpu1,cpu2,cpu3,cpu4,cpu5,cpu6,cpu7,cpu8,cpu9,cpu10,cpu11,cpu12,cpu13,cpu14,cpu15,cpu16,cpu17,cpu18,cpu19,cpu20,cpu21,cpu22,cpu23,cpu24,cpu25,cpu26,cpu27,cpu28,cpu29,cpu30,cpu31,cpu32,cpu33,cpu34,cpu35,cpu36,cpu37,cpu38,cpu39,cpu40,cpu41,cpu42,cpu43,cpu44,cpu45,cpu46,cpu47,cpu48,cpu49,cpu50,cpu51,cpu52,cpu53,cpu54,cpu55,cpu56,cpu57,cpu58,cpu59,cpu60,cpu61,cpu62,cpu63,cpu64,cpu65,cpu66,cpu67,cpu68,cpu69,cpu70,cpu71,cpu72,cpu73,cpu74,cpu75,cpu76,cpu77,cpu78,cpu79,cpu80,cpu81,cpu82,cpu83,cpu84,cpu85,cpu86,cpu87,cpu88,cpu89,cpu90,cpu91,cpu92,cpu93,cpu94,cpu95
68.40579,3.9337475,3.6344755,2.8331585,2.9380903,2.6260505,2.198953,2.8301888,3.141361,2.303665,2.9258099,2.1943574,3.0366492,2.5157232,2.3983316,1.7913593,3.3472803,2.0920503,2.518363,2.2058823,2.4236038,2.2058823,2.6260505,2.4134312,3.039832,2.4210525,2.620545,2.6288118,2.6150627,3.2191067,3.141361,2.2035677,2.7139874,2.3012552,3.5379813,2.7339642,2.620545,2.6123302,2.8391168,2.4185069,3.1380754,2.7225132,3.0334728,3.043022,2.9504743,2.6096034,2.9258099,2.5316455,3.0462184,1.7838405,2.7368422,3.1446543,2.7225132,2.400835,2.8391168,2.4185069,2.6288118,2.5052192,3.0366492,3.3437827,3.039832,2.4159665,2.7339642,2.9380903,2.8331585,2.4134312,2.8301888,2.9288704,2.4109015,2.4159665,2.098636,2.9288704,3.141361,2.3133545,2.7253668,2.2035677,1.6806724,2.919708,2.6096034,3.141361,3.3437827,2.0920503,3.0366492,1.8947369,2.4312897,2.1966527,2.4134312,2.9380903,3.2460735,2.1074815,2.1966527,2.303665,2.7310925,2.7139874,3.030303,2.1966527
34.615387,0,10,10,14.285715,5.263158,10,10,10,5.263158,10,0,10,10,5.263158,10,0,0,5.263158,14.285715,5,5.263158,5.263158,5.263158,5.263158,14.285715,21.73913,10,10,10,10,10.526316,5.263158,5.263158,5.263158,14.285715,5.263158,10,14.285715,10,5.263158,0,5.263158,14.285715,10.526316,5,14.285715,5.263158,10.526316,5.555556,10,10.526316,5.263158,10,10,14.285715,15.000001,5.263158,14.285715,0,10,5,10,5.263158,10,0,5.263158,0,14.285715,10,5.263158,5,5.263158,14.285715,10,5.263158,5.263158,18.181818,14.285715,0,4.7619047,5,14.285715,10,5.263158,0,5.263158,5.263158,5.263158,0,10.526316,10.526316,10,0,10.526316,5.555556
10,0,10,10,4.7619047,5.263158,0,10,19.047619,5.263158,10,10,14.285715,10,10,10,5.263158,10,14.285715,10,10.526316,10,5.263158,10.526316,5,5.555556,5.263158,5.263158,10,14.285715,5.263158,14.285715,5.263158,10,10,10,5.555556,5.263158,0,10,15.000001,5.263158,14.285715,0,9.523809,10,10,0,5.263158,5,10,5.263158,5.263158,5.263158,5.263158,5,10,10,10.526316,5.263158,5.263158,5.263158,5.263158,0,5.263158,14.285715,10,10,0,10,15.000001,10,5.263158,5.263158,14.285715,5.263158,10,10.526316,0,14.285715,5.263158,5.263158,5.263158,10,10,10,0,5.555556,10.526316,5,18.181818,14.285715,10,5,10,5.263158
28,18.181818,10,14.285715,5.263158,10,10,5.263158,5.263158,5.263158,5.263158,0,10.526316,14.285715,0,5.263158,10,10,5,5.263158,10,0,15.000001,5,10.526316,5,10,10,10,5.263158,5.263158,14.285715,0,0,14.285715,5.263158,10,10,5.263158,0,5,10.526316,5.263158,10,5,5.263158,10,5.263158,14.285715,5.263158,10,5,10,10,10,5,0,5.263158,9.523809,10,10,10,5.263158,10,5.263158,5.263158,0,5.263158,10.526316,5.263158,17.391304,5.263158,5.263158,5.263158,18.181818,5.263158,15.000001,10,10,14.285715,5.263158,15.000001,5.263158,5.263158,14.285715,10,10,5.263158,0,10,9.523809,5.263158,10.526316,0,5.263158,5
19.047619,5.263158,10,5.263158,10.526316,5.263158,9.523809,14.285715,5.263158,5.263158,14.285715,19.047619,9.523809,9.523809,5,0,5.263158,0,5,14.285715,19.047619,10,9.523809,5.263158,14.285715,10,5.263158,5.263158,5.263158,14.285715,10,13.636364,5.263158,5.263158,5.263158,10,18.181818,5.263158,10,5,0,18.181818,5.263158,0,10,9.523809,5.263158,5.263158,14.285715,10,10,10,5.263158,10,5.263158,5.263158,10,10,5.263158,14.285715,5.263158,5.263158,10,5.263158,5.263158,10,13.636364,10,14.285715,10,0,5.263158,10,14.285715,5.263158,14.285715,5.263158,10,14.285715,5.263158,4.7619047,5,5,0,10.526316,10,0,10,5.263158,10.526316,0,10,15.000001,10,10,10
18.181818,26.086956,15.000001,10.526316,5.263158,10.526316,15.000001,10.526316,10.526316,15.000001,5.263158,5.263158,5.263158,10.526316,22.727274,10,10,10.526316,5.555556,15.000001,5,5,9.523809,15.000001,5.263158,0,5.263158,19.047619,14.285715,5.263158,15.000001,15.000001,5.555556,5.263158,18.181818,14.285715,10.526316,10.526316,10,5.263158,10.526316,10,5.555556,0,5.263158,5.263158,15.000001,10.526316,5.555556,5.555556,15.000001,5.263158,5.263158,5.263158,5.555556,5.263158,14.285715,14.285715,10.526316,5.555556,0,18.181818,15.000001,21.73913,9.523809,10,15.000001,14.285715,10,14.285715,14.285715,5.555556,10.526316,10,15.000001,5.263158,14.285715,14.285715,10.526316,10,10.526316,15.000001,15.000001,14.285715,13.636364,5.555556,10.526316,10,15.000001,14.285715,14.285715,18.181818,68.42105,15.000001,18.181818,10
34.615387,19.047619,10,5.263158,10,19.047619,15.000001,21.73913,5.263158,15.000001,15.000001,0,14.285715,15.000001,5.263158,5.263158,14.285715,5.263158,10,14.285715,10.526316,15.000001,5.263158,19.047619,5.263158,10,19.047619,5.263158,5.263158,5.263158,15.000001,10,10.526316,5,10,10.526316,15.000001,5.263158,0,10,10,5,5.263158,10,9.523809,15.000001,5.263158,14.285715,15.000001,14.285715,5.555556,10.526316,5.263158,5.555556,18.181818,14.285715,15.000001,10.526316,10,10.526316,22.727274,19.047619,13.636364,5.555556,10,10.526316,10,5.555556,10,0,5.263158,18.181818,0,10,10,5.555556,10,15.000001,5.555556,14.285715,5.555556,5.263158,19.047619,10.526316,10.526316,10,0,10.526316,5.555556,5.555556,15.000001,19.047619,100,10.526316,10.526316,10.526316
33.333336,19.047619,11.111112,10.526316,19.047619,15.789473,10.526316,20,0,10.526316,15.789473,0,11.111112,5,19.047619,0,0,0,0,5.263158,5.263158,0,10.526316,15.000001,19.047619,10.526316,19.047619,0,10.526316,15.789473,5.555556,19.047619,10.526316,14.285715,0,0,10.526316,0,10.526316,0,15.000001,19.047619,15.789473,0,0,14.285715,15.000001,15.789473,10.526316,10.526316,22.727274,19.047619,10.526316,10.526316,11.111112,5.263158,15.000001,10.526316,11.111112,15.000001,11.111112,15.000001,0,15.000001,15.000001,19.047619,11.111112,19.047619,0,0,0,15.789473,0,0,20,15.000001,0,5.555556,15.000001,0,15.000001,20,0,0,10.526316,4.7619047,0,15.000001,5.555556,19.047619,10.526316,5,100,19.047619,15.789473,0
36,19.047619,19.047619,5,26.31579,5,5.263158,19.047619,19.047619,5.263158,9.523809,5,9.523809,5,10,5,10,0,0,0,15.000001,0,5,10,5,0,21.73913,0,5,10,23.809525,5.263158,22.727274,15.000001,10,0,15.789473,0,15.000001,0,5,10.526316,0,0,15.000001,19.047619,19.047619,10.526316,5.263158,10.526316,5.263158,10,14.285715,14.285715,4.7619047,5,14.285715,25,9.523809,0,10,18.181818,5,5,5,0,5,25,5,0,5,15.000001,5,5,0,14.285715,5,10,10,5.263158,14.285715,10.526316,9.523809,9.523809,0,5,5,9.523809,5.263158,0,15.000001,14.285715,95.2381,10,22.727274,5.555556
26.086956,19.047619,19.047619,15.000001,15.000001,14.285715,15.000001,10.526316,0,15.000001,10.526316,19.047619,10.526316,5.555556,5.263158,15.000001,10.526316,15.000001,19.047619,14.285715,19.047619,10.526316,15.000001,0,5.555556,0,15.789473,15.000001,10.526316,19.047619,15.000001,15.000001,5.263158,15.789473,10.526316,10.526316,10,10.526316,15.000001,19.047619,10.526316,11.111112,15.000001,19.047619,19.047619,5.555556,22.727274,14.285715,15.000001,22.727274,10.526316,5.555556,20,5.555556,10.526316,0,15.000001,5.263158,19.047619,19.047619,15.000001,5.555556,15.000001,10.526316,22.727274,15.000001,15.000001,20,19.047619,5.555556,10.526316,15.000001,10.526316,10,15.000001,5.555556,0,15.000001,10.526316,5.263158,5.555556,15.000001,10.526316,5.263158,15.000001,22.727274,10,10.526316,10.526316,10,10.526316,10,5.555556,15.000001,5.555556,22.727274
